English,MappedZhcn,SourceZhcn,VanillaZhcn,IascusZhcn,ProcrastinatorZhcn,DiffZhcn,DiffZhtw,MappedZhtw,SourceZhtw,VanillaZhtw,IascusZhtw,ProcrastinatorZhtw,SkillKey
Scattering Blows,诛荡,Vanilla,诛荡,诛荡,诛荡,False,True,潰散攻擊,Vanilla,潰散攻擊,潰散攻擊,誅蕩,hv_skill_ability_scattering_blows_instinct_name
The attacks fall with such consistency that they are as a rain of strikes falling upon the foe.,迅猛而一致的攻击，如狂风暴雨般席卷敌军。,Vanilla,迅猛而一致的攻击，如狂风暴雨般席卷敌军。,迅猛而一致的攻击，如狂风暴雨般席卷敌军。,迅猛而一致的攻击，如狂风暴雨般席卷敌军。,False,True,猶如驟雨般的連綿攻勢，一次次地衝擊對手。,Vanilla,猶如驟雨般的連綿攻勢，一次次地衝擊對手。,猶如驟雨般的連綿攻勢，一次次地衝擊對手。,迅猛而一致的攻擊，如狂風暴雨般席捲敵軍。,hv_skill_ability_scattering_blows_instinct_description
Royal Blood,龙脉,MappedByPattern,,皇室贵胄,龙脉,False,True,皇室貴胄,MappedByPattern,,皇室貴胄,龍脈,hv_skill_ability_royal_blood_resolve_name
"Fearing retribution, enemies hesitate to fire upon a scion of the Han.",敌人并不敢伤害汉室宗亲。,MappedByPattern,,如果以弓箭射伤此人，弓箭手将遭受全中国的谴责。,龙袍加身，气吞山河。,True,True,敵人並不敢傷害漢室宗親。,MappedByPattern,,如果以弓箭射傷此人，弓箭手將受到天下的責難。,龍袍加身，氣吞山河。,hv_skill_ability_royal_blood_resolve_description
Royal Blood,龙脉,MappedByPattern,,皇室贵胄,龙脉,False,True,皇室貴胄,MappedByPattern,,皇室貴胄,龍脈,hv_skill_ability_royal_blood_instinct_name
"Fearing retribution, enemies hesitate to fire upon a scion of the Han.",敌人并不敢伤害汉室宗亲。,MappedByPattern,,如果以弓箭射伤此人，弓箭手将遭受全中国的谴责。,龙袍加身，气吞山河。,True,True,敵人並不敢傷害漢室宗親。,MappedByPattern,,如果以弓箭射傷此人，弓箭手將受到天下的責難。,龍袍加身，氣吞山河。,hv_skill_ability_royal_blood_instinct_description
Royal Blood,龙脉,MappedByPattern,,皇室贵胄,龙脉,False,True,皇室貴胄,MappedByPattern,,皇室貴胄,龍脈,hv_skill_ability_royal_blood_expertise_name
"Fearing retribution, enemies hesitate to fire upon a scion of the Han.",敌人并不敢伤害汉室宗亲。,MappedByPattern,,如果以弓箭射伤此人，弓箭手将遭受全中国的谴责。,龙袍加身，气吞山河。,True,True,敵人並不敢傷害漢室宗親。,MappedByPattern,,如果以弓箭射傷此人，弓箭手將受到天下的責難。,龍袍加身，氣吞山河。,hv_skill_ability_royal_blood_expertise_description
Royal Blood,龙脉,MappedByPattern,,皇室贵胄,龙脉,False,True,皇室貴胄,MappedByPattern,,皇室貴胄,龍脈,hv_skill_ability_royal_blood_cunning_name
"Fearing retribution, enemies hesitate to fire upon a scion of the Han.",敌人并不敢伤害汉室宗亲。,MappedByPattern,,如果以弓箭射伤此人，弓箭手将遭受全中国的谴责。,龙袍加身，气吞山河。,True,True,敵人並不敢傷害漢室宗親。,MappedByPattern,,如果以弓箭射傷此人，弓箭手將受到天下的責難。,龍袍加身，氣吞山河。,hv_skill_ability_royal_blood_cunning_description
Royal Blood,龙脉,MappedByPattern,,皇室贵胄,龙脉,False,True,皇室貴胄,MappedByPattern,,皇室貴胄,龍脈,hv_skill_ability_royal_blood_authority_name
"Fearing retribution, enemies hesitate to fire upon a scion of the Han.",敌人并不敢伤害汉室宗亲。,MappedByPattern,,如果以弓箭射伤此人，弓箭手将遭受全中国的谴责。,龙袍加身，气吞山河。,True,True,敵人並不敢傷害漢室宗親。,MappedByPattern,,如果以弓箭射傷此人，弓箭手將受到天下的責難。,龍袍加身，氣吞山河。,hv_skill_ability_royal_blood_authority_description
Roar of the Beast,虎啸,Vanilla,虎啸,虎啸,虎啸,False,True,野獸咆哮,Vanilla,野獸咆哮,野獸咆哮,虎嘯,hv_skill_ability_roar_of_the_beast_instinct_name
The fury of the victorious warrior is fearful to behold!,"常胜将军雄威盛怒,敌军闻之皆尽胆寒!",Vanilla,"常胜将军雄威盛怒,敌军闻之皆尽胆寒!","常胜将军雄威盛怒,敌军闻之皆尽胆寒!","常胜将军雄威盛怒,敌军闻之皆尽胆寒!",False,True,常勝戰士的氣焰熾熱得令人不敢直視！,Vanilla,常勝戰士的氣焰熾熱得令人不敢直視！,常勝戰士的氣焰熾熱得令人不敢直視！,"常勝將軍雄威盛怒,敵軍聞之皆盡膽寒!",hv_skill_ability_roar_of_the_beast_instinct_description
Restore,回春,MappedByPattern,,回复,回春,False,True,回復,MappedByPattern,,回復,回春,hv_skill_ability_restore_cunning_name
A moment's respite from battlefield to heal our troops.,从战场上喘息片刻，为我军疗伤。,MappedByPattern,,从战场上喘息片刻，为我军疗伤。,冬去春来，生机勃发。,True,True,從戰場上喘息片刻，為我軍療傷。,MappedByPattern,,從戰場上喘息片刻，為我軍療傷。,冬去春來，生機勃發。,hv_skill_ability_restore_cunning_description
Restore,回春,MappedByPattern,,回复,回春,False,True,回復,MappedByPattern,,回復,回春,hv_skill_ability_restore_authority_name
A moment's respite from battlefield to heal our troops.,从战场上喘息片刻，为我军疗伤。,MappedByPattern,,从战场上喘息片刻，为我军疗伤。,冬去春来，生机勃发。,True,True,從戰場上喘息片刻，為我軍療傷。,MappedByPattern,,從戰場上喘息片刻，為我軍療傷。,冬去春來，生機勃發。,hv_skill_ability_restore_authority_description
Resolve of the Righteous,贞义,Vanilla,贞义,贞义,贞义,False,True,大義凜然,Vanilla,大義凜然,大義凜然,貞義,hv_skill_ability_resolve_of_the_righteous_expertise_name
An outnumbered army will fight even harder. Skill trumps numbers.,以寡击众，则士卒必效死：所谓兵不在多，而在其用,Vanilla,以寡击众，则士卒必效死：所谓兵不在多，而在其用,以寡击众，则士卒必效死：所谓兵不在多，而在其用,以寡击众，则士卒必效死：所谓兵不在多，而在其用。,True,True,以寡擊眾之軍更能背水一戰。實力遠比數量重要。,Vanilla,以寡擊眾之軍更能背水一戰。實力遠比數量重要。,以寡擊眾之軍更能背水一戰。實力遠比數量重要。,以寡擊衆，則士卒必效死：所謂兵不在多，而在其用。,hv_skill_ability_resolve_of_the_righteous_expertise_description
Resolve of the Righteous,贞义,Vanilla,贞义,贞义,贞义,False,True,大義凜然,Vanilla,大義凜然,大義凜然,貞義,hv_skill_ability_resolve_of_the_righteous_authority_name
An outnumbered army will fight even harder. Skill trumps numbers.,以寡击众，则士卒必效死：所谓兵不在多，而在其用,Vanilla,以寡击众，则士卒必效死：所谓兵不在多，而在其用,以寡击众，则士卒必效死：所谓兵不在多，而在其用,以寡击众，则士卒必效死：所谓兵不在多，而在其用。,True,True,以寡擊眾之軍更能背水一戰。實力遠比數量重要。,Vanilla,以寡擊眾之軍更能背水一戰。實力遠比數量重要。,以寡擊眾之軍更能背水一戰。實力遠比數量重要。,以寡擊衆，則士卒必效死：所謂兵不在多，而在其用。,hv_skill_ability_resolve_of_the_righteous_authority_description
Reign of Terror,怖惧,Vanilla,怖惧,怖惧,怖惧,False,True,恐怖統治,Vanilla,恐怖統治,恐怖統治,怖懼,hv_skill_ability_reign_of_terror_instinct_name
The tyrant rages; his men hold through fear.,暴君震怒，属下瑟瑟发抖,Vanilla,暴君震怒，属下瑟瑟发抖,暴君震怒，属下瑟瑟发抖,暴君震怒，属下瑟瑟发抖。,True,True,暴君盛怒，部下皆心懷恐懼。,Vanilla,暴君盛怒，部下皆心懷恐懼。,暴君盛怒，部下皆心懷恐懼。,暴君震怒，屬下瑟瑟發抖。,hv_skill_ability_reign_of_terror_instinct_description
Reckless Strike,孟浪,Vanilla,孟浪,孟浪,孟浪,False,True,蠻橫猛擊,Vanilla,蠻橫猛擊,蠻橫猛擊,孟浪,hv_skill_ability_reckless_strike_resolve_name
"Should this blow strike true, the battle is done. Should it not, then… it may still also be done.",此乃绝死一击，若中，则战局可定；若不中……亦可定。,Vanilla,此乃绝死一击，若中，则战局可定；若不中……亦可定。,此乃绝死一击，若中，则战局可定；若不中……亦可定。,此乃绝死一击，若中，则战局可定；若不中……亦可定。,False,True,如果這一擊命中，戰鬥便會結束。如果沒有命中，那麼…戰鬥仍然可能結束。,Vanilla,如果這一擊命中，戰鬥便會結束。如果沒有命中，那麼…戰鬥仍然可能結束。,如果這一擊命中，戰鬥便會結束。如果沒有命中，那麼…戰鬥仍然可能結束。,此乃絕死一擊，若中，則戰局可定；若不中……亦可定。,hv_skill_ability_reckless_strike_resolve_description
Reckless Strike,孟浪,Vanilla,孟浪,孟浪,孟浪,False,True,蠻橫猛擊,Vanilla,蠻橫猛擊,蠻橫猛擊,孟浪,hv_skill_ability_reckless_strike_instinct_name
"Should this blow strike true, the battle is done. Should it not, then… it may still also be done.",此乃绝死一击，若中，则战局可定；若不中……亦可定。,Vanilla,此乃绝死一击，若中，则战局可定；若不中……亦可定。,此乃绝死一击，若中，则战局可定；若不中……亦可定。,此乃绝死一击，若中，则战局可定；若不中……亦可定。,False,True,如果這一擊命中，戰鬥便會結束。如果沒有命中，那麼…戰鬥仍然可能結束。,Vanilla,如果這一擊命中，戰鬥便會結束。如果沒有命中，那麼…戰鬥仍然可能結束。,如果這一擊命中，戰鬥便會結束。如果沒有命中，那麼…戰鬥仍然可能結束。,此乃絕死一擊，若中，則戰局可定；若不中……亦可定。,hv_skill_ability_reckless_strike_instinct_description
Rally the Troops,重振旗鼓,MappedByPattern,重振旗鼓,重振旗鼓,重振,True,True,集結兵馬,MappedByPattern,集結兵馬,集結兵馬,重振,hv_skill_ability_rally_the_troops_cunning_name
"This general rallies the troops to greater feats, inspiring them to make one final effort.",此将召集兵士奋勇作战，鼓励他们作最后一搏。,MappedByPattern,,此将召集兵士奋勇作战，鼓励他们作最后一搏。,此将召集兵士奋勇作战，鼓励他们作最后一搏。,False,False,此將召集兵士奮勇作戰，鼓勵他們作最後一搏。,MappedByPattern,,此將召集兵士奮勇作戰，鼓勵他們作最後一搏。,此將召集兵士奮勇作戰，鼓勵他們作最後一搏。,hv_skill_ability_rally_the_troops_cunning_description
Rage of Lü Bu,人中吕布,Vanilla,人中吕布,人中吕布,人中吕布,False,True,呂布之怒,Vanilla,呂布之怒,呂布之怒,人中呂布,hv_skill_ability_rage_of_lu_bu_instinct_name
"With a mighty sweep, Lü Bu strikes all around him.",画戟猛烈地横扫，打击吕布周围的所有敌人,Vanilla,画戟猛烈地横扫，打击吕布周围的所有敌人,画戟猛烈地横扫，打击吕布周围的所有敌人,画戟猛烈地横扫，打击吕布周围的所有敌人。,True,True,呂布猛力一擊，徹底掃平周遭一眾敵軍。,Vanilla,呂布猛力一擊，徹底掃平周遭一眾敵軍。,呂布猛力一擊，徹底掃平周遭一眾敵軍。,畫戟猛烈地橫掃，打擊呂布周圍的所有敵人。,hv_skill_ability_rage_of_lu_bu_instinct_description
Quickfire,霹雳,MappedByPattern,霹雳,霹雳,霹雳,False,True,連珠砲,MappedByPattern,連珠砲,連珠砲,霹靂,hv_skill_ability_quickfire_expertise_name
"This shooter fires and fires, faster and faster, never relenting.",此人一箭紧接一箭，一箭快过一箭。,MappedByPattern,,此弓手不断引弓放箭，越放越快，毫不留手。,一箭紧接一箭，一箭快过一箭。,True,True,此人不斷引弓放箭，越放越快，毫不留手。,MappedByPattern,,此弓手不斷引弓放箭，越放越快，毫不留手。,一箭緊接一箭，一箭快過一箭。,hv_skill_ability_quickfire_expertise_description
Preach,布道,Vanilla,布道,布道,布道,False,True,講道,Vanilla,講道,講道,佈道,hv_skill_ability_preach_name
These words will fortify the spirit.,斯言聚神,Vanilla,斯言聚神,斯言聚神,斯言聚神。,True,True,這樣的話語能強化心靈。,Vanilla,這樣的話語能強化心靈。,這樣的話語能強化心靈。,斯言聚神。,hv_skill_ability_preach_description
Poisoned Blade,毒刃,Vanilla,毒刃,毒刃,毒刃,False,True,淬毒刀刃,Vanilla,淬毒刀刃,淬毒刀刃,毒刃,hv_skill_ability_poisioned_blade_resolve_name
"The thing to fear is not the bolt itself, but the dark and toxic unguent coated across its ever-increasing tip.",敌非惧锋利，乃是怕毒厉,Vanilla,敌非惧锋利，乃是怕毒厉,敌非惧锋利，乃是怕毒厉,敌非惧锋利，乃是怕毒厉。,True,True,箭矢本身倒不可怕，令人膽寒的是上頭沾染的黑毒膏。,Vanilla,箭矢本身倒不可怕，令人膽寒的是上頭沾染的黑毒膏。,箭矢本身倒不可怕，令人膽寒的是上頭沾染的黑毒膏。,敵非懼鋒利，乃是怕毒厲。,hv_skill_ability_poisioned_blade_resolve_description
Overwhelmming,填膺,MappedByPattern,,压倒之势,填膺,False,True,壓倒之勢,MappedByPattern,,壓倒之勢,填膺,hv_skill_ability_overwhelm_resolve_name
A display of unstoppable fury.,展现出势不可挡的愤怒。,MappedByPattern,,展现出势不可挡的愤怒。,展现出势不可挡的愤怒。,False,False,展現出勢不可擋的憤怒。,MappedByPattern,,展現出勢不可擋的憤怒。,展現出勢不可擋的憤怒。,hv_skill_ability_overwhelm_resolve_description
Overwhelmming,填膺,MappedByPattern,,压倒之势,填膺,False,True,壓倒之勢,MappedByPattern,,壓倒之勢,填膺,hv_skill_ability_overwhelm_instinct_name
A display of unstoppable fury.,展现出势不可挡的愤怒。,MappedByPattern,,展现出势不可挡的愤怒。,展现出势不可挡的愤怒。,False,False,展現出勢不可擋的憤怒。,MappedByPattern,,展現出勢不可擋的憤怒。,展現出勢不可擋的憤怒。,hv_skill_ability_overwhelm_instinct_description
Mettlesome Advance,捣穴,MappedByPattern,,突飞猛进,捣穴,False,True,突飛猛進,MappedByPattern,,突飛猛進,搗穴,hv_skill_ability_order_of_tyrant_resolve_name
Pride and confidence go hand in hand.,傲慢即信心所在。,MappedByPattern,,傲慢即信心所在。,犁庭扫穴，无坚不摧。,True,True,傲慢即信心所在。,MappedByPattern,,傲慢即信心所在。,犁庭掃穴，無堅不摧。,hv_skill_ability_order_of_tyrant_resolve_description
Mettlesome Advance,捣穴,MappedByPattern,,突飞猛进,捣穴,False,True,突飛猛進,MappedByPattern,,突飛猛進,搗穴,hv_skill_ability_order_of_tyrant_instinct_name
Confidence and pride go hand in hand.,傲慢即信心所在。,MappedByPattern,,傲慢即信心所在,犁庭扫穴，无坚不摧。,True,True,傲慢即信心所在。,MappedByPattern,,傲慢即信心所在,犁庭掃穴，無堅不摧。,hv_skill_ability_order_of_tyrant_instinct_description
Mettlesome Advance,捣穴,MappedByPattern,,突飞猛进,捣穴,False,True,突飛猛進,MappedByPattern,,突飛猛進,搗穴,hv_skill_ability_order_of_tyrant_authority_name
Pride and confidence go hand in hand.,傲慢即信心所在。,MappedByPattern,,傲慢即信心所在。,犁庭扫穴，无坚不摧。,True,True,傲慢即信心所在。,MappedByPattern,,傲慢即信心所在。,犁庭掃穴，無堅不摧。,hv_skill_ability_order_of_tyrant_authority_description
One with the People,人遁,Vanilla,人遁,人遁,人遁,False,True,與人合一,Vanilla,與人合一,與人合一,人遁,hv_skill_ability_one_with_the_people_name
Knowledge that your comrades will never abandon you brings tremendous comfort.,兄弟不弃，可谓安心,Vanilla,兄弟不弃，可谓安心,兄弟不弃，可谓安心,兄弟不弃，可谓安心。,True,True,知道同胞絕不會捨自己而去，能讓人大感安心。,Vanilla,知道同胞絕不會捨自己而去，能讓人大感安心。,知道同胞絕不會捨自己而去，能讓人大感安心。,兄弟不棄，可謂安心。,hv_skill_ability_one_with_the_people_description
One with the Land,地遁,Vanilla,地遁,地遁,地遁,False,True,與地合一,Vanilla,與地合一,與地合一,地遁,hv_skill_ability_one_with_the_land_name
Generations working the land will breed a kinship with it.,劳于地者必亲之,Vanilla,劳于地者必亲之,劳于地者必亲之,劳于地者必亲之。,True,True,世世代代在土地上生息能使人培養出與土地的密切情誼。,Vanilla,世世代代在土地上生息能使人培養出與土地的密切情誼。,世世代代在土地上生息能使人培養出與土地的密切情誼。,勞於地者必親之。,hv_skill_ability_one_with_the_land_description
One with Heaven,天遁,Vanilla,天遁,天遁,天遁,False,True,與天合一,Vanilla,與天合一,與天合一,天遁,hv_skill_ability_one_with_heaven_name
Look up and you will see the sky; look inward and you will see heaven.,上观则为天，深察则为妙,Vanilla,上观则为天，深察则为妙,上观则为天，深察则为妙,上观则为天，深察则为妙。,True,True,往頭上看，看到的是天空，往心裡看，看到的便是黃天。,Vanilla,往頭上看，看到的是天空，往心裡看，看到的便是黃天。,往頭上看，看到的是天空，往心裡看，看到的便是黃天。,上觀則爲天，深察則爲妙。,hv_skill_ability_one_with_heaven_description
Oil Pot,油罐,MappedByPattern,,油罐,油罐,False,False,油罐,MappedByPattern,,油罐,油罐,hv_skill_ability_oil_bomb_cunning_name
Throw a sticky pot of oil onto the enemy.,扔掷易燃油罐至目标敌人。,Procrastinator,,扔掷黏糊糊油罐至目标敌人。,扔掷易燃油罐至目标敌人。,False,False,扔擲易燃油罐至目標敵人。,Procrastinator,,扔擲黏糊糊油罐至目標敵人。,扔擲易燃油罐至目標敵人。,hv_skill_ability_oil_bomb_cunning_description
Nature's Ally,天侣,Vanilla,天侣,天侣,天侣,False,True,自然之友,Vanilla,自然之友,自然之友,天侶,hv_skill_ability_nature_s_ally_resolve_name
"The forest provides a path, and surer footing, for the respectful. ",敬爱山林，林即如家，山是前路。 ,Vanilla,敬爱山林，林即如家，山是前路。 ,敬爱山林，林即如家，山是前路。 ,敬爱山林，山亦敬之，穿林如行路。,True,True,森林為懂得尊重的人提供了通行路徑和更穩固的立足之地。 ,Vanilla,森林為懂得尊重的人提供了通行路徑和更穩固的立足之地。 ,森林為懂得尊重的人提供了通行路徑和更穩固的立足之地。 ,敬愛山林，山亦敬之，穿林如行路。,hv_skill_ability_nature_s_ally_resolve_description
Nature's Ally,天侣,Vanilla,天侣,天侣,天侣,False,True,自然之友,Vanilla,自然之友,自然之友,天侶,hv_skill_ability_nature_s_ally_cunning_name
"The forest provides a path, and surer footing, for the respectful. ",敬爱山林，林即如家，山是前路。 ,Vanilla,敬爱山林，林即如家，山是前路。 ,敬爱山林，林即如家，山是前路。 ,敬爱山林，山亦敬之，穿林如行路。,True,True,森林為懂得尊重的人提供了通行路徑和更穩固的立足之地。 ,Vanilla,森林為懂得尊重的人提供了通行路徑和更穩固的立足之地。 ,森林為懂得尊重的人提供了通行路徑和更穩固的立足之地。 ,敬愛山林，山亦敬之，穿林如行路。,hv_skill_ability_nature_s_ally_cunning_description
Nature's Ally,天侣,Vanilla,天侣,天侣,天侣,False,True,自然之友,Vanilla,自然之友,自然之友,天侶,hv_skill_ability_nature_s_ally_authority_name
"The forest provides a path, and surer footing, for the respectful.",敬爱山林，山亦敬之，穿林如行路。,Procrastinator,,森林为懂得尊重的人提供了通行路径和更稳固的立足之地。,敬爱山林，山亦敬之，穿林如行路。,False,False,敬愛山林，山亦敬之，穿林如行路。,Procrastinator,,森林為懂得尊重的人提供了通行路徑和更穩固的立足之地。 ,敬愛山林，山亦敬之，穿林如行路。,hv_skill_ability_nature_s_ally_authority_description
Mortal Strike,致命一击,MappedByPattern,,致命一击,浴血,True,True,致命一擊,MappedByPattern,,致命一擊,浴血,hv_skill_ability_mortal_strike_instinct_name
Delivers a very powerful blow.,可发出非常有力的一击。,MappedByPattern,,可发出非常有力的一击。,浴血奋战，雷霆万钧。,True,True,可發出非常有力的一擊。,MappedByPattern,,可發出非常有力的一擊。,浴血奮戰，雷霆萬鈞。,hv_skill_ability_mortal_strike_instinct_description
Mortal Strike,致命一击,MappedByPattern,,致命一击,浴血,True,True,致命一擊,MappedByPattern,,致命一擊,浴血,hv_skill_ability_mortal_strike_expertise_name
Delivers a very powerful blow.,可发出非常有力的一击。,MappedByPattern,,可发出非常有力的一击。,浴血奋战，雷霆万钧。,True,True,可發出非常有力的一擊。,MappedByPattern,,可發出非常有力的一擊。,浴血奮戰，雷霆萬鈞。,hv_skill_ability_mortal_strike_expertise_description
Mortal Strike,致命一击,MappedByPattern,,致命一击,浴血,True,True,致命一擊,MappedByPattern,,致命一擊,浴血,hv_skill_ability_mortal_strike_authority_name
Delivers a very powerful blow.,可发出非常有力的一击。,MappedByPattern,,可发出非常有力的一击。,浴血奋战，雷霆万钧。,True,True,可發出非常有力的一擊。,MappedByPattern,,可發出非常有力的一擊。,浴血奮戰，雷霆萬鈞。,hv_skill_ability_mortal_strike_authority_description
Mock,雄辩,MappedByPattern,雄辩,雄辩,雄辩,False,True,嘲諷,MappedByPattern,嘲諷,嘲諷,雄辯,hv_skill_ability_mock_expertise_name
"This hero accosts the enemy hero, shaking them to the core.",此英雄面对敌将，一番滔滔雄辩，令其心智动摇。,MappedByPattern,,此英雄向敌将大胆喊话，令对方心神动摇。,面对敌将，一番滔滔雄辩，令其心智动摇。,True,True,此英雄向敵將大膽喊話，令對方心神動搖。,MappedByPattern,,此英雄向敵將大膽喊話，令對方心神動搖。,面對敵將，一番滔滔雄辯，令其心智動搖。,hv_skill_ability_mock_expertise_description
Mock,雄辩,MappedByPattern,雄辩,雄辩,雄辩,False,True,嘲諷,MappedByPattern,嘲諷,嘲諷,雄辯,hv_skill_ability_mock_cunning_name
"This hero accosts the enemy hero, shaking them to the core.",此英雄面对敌将，一番滔滔雄辩，令其心智动摇。,MappedByPattern,,此英雄向敌将大胆喊话，令对方心神动摇。,面对敌将，一番滔滔雄辩，令其心智动摇。,True,True,此英雄向敵將大膽喊話，令對方心神動搖。,MappedByPattern,,此英雄向敵將大膽喊話，令對方心神動搖。,面對敵將，一番滔滔雄辯，令其心智動搖。,hv_skill_ability_mock_cunning_description
Mock,雄辩,MappedByPattern,雄辩,雄辩,雄辩,False,True,嘲諷,MappedByPattern,嘲諷,嘲諷,雄辯,hv_skill_ability_mock_authority_name
"This hero accosts the enemy hero, shaking them to the core.",此英雄面对敌将，一番滔滔雄辩，令其心智动摇。,MappedByPattern,,此英雄向敌将大胆喊话，令对方心神动摇。,面对敌将，一番滔滔雄辩，令其心智动摇。,True,True,此英雄向敵將大膽喊話，令對方心神動搖。,MappedByPattern,,此英雄向敵將大膽喊話，令對方心神動搖。,面對敵將，一番滔滔雄辯，令其心智動搖。,hv_skill_ability_mock_authority_description
Mighty Thrust,披靡,MappedByPattern,披靡,披靡,披靡,False,True,強勁衝鋒,MappedByPattern,強勁衝鋒,強勁衝鋒,披靡,hv_skill_ability_mighty_thrust_instinct_name
"With a shout, this man spurs on their horse. The warrior can plough into enemies with such force that scores of men go flying.",此人大吼一声，纵马冲入敌阵，犹如一把利刃，杀得敌人血肉横飞。,MappedByPattern,,此人高呼一声，策马飞奔。他冲入敌阵的劲道之强，足以将大批士兵一举震飞。,此人高呼一声，策马飞奔。他冲入敌阵的劲道之强，足以将大批士兵一举震飞。,True,False,此人高呼一聲，策馬飛奔。他衝入敵陣的勁道之強，足以將大批士兵一舉震飛。,MappedByPattern,,此人高呼一聲，策馬飛奔。他衝入敵陣的勁道之強，足以將大批士兵一舉震飛。,此人高呼一聲，策馬飛奔。他衝入敵陣的勁道之強，足以將大批士兵一舉震飛。,hv_skill_ability_mighty_thrust_instinct_description
Mark Target,丛矢,MappedByPattern,,,,True,True,瞄定,MappedByPattern,,,,hv_skill_ability_mark_target_scholar_name
Choose the targets to focus fire.,选定目标集中射击。,MappedByPattern,,,,True,True,選定目標集中射擊。,MappedByPattern,,,,hv_skill_ability_mark_target_scholar_description
Mark Target,丛矢,MappedByPattern,,,,True,True,瞄定,MappedByPattern,,,,hv_skill_ability_mark_target_resolve_name
Choose the targets to focus fire.,选定目标集中射击。,MappedByPattern,,,,True,True,選定目標集中射擊。,MappedByPattern,,,,hv_skill_ability_mark_target_resolve_description
Mark Target,丛矢,MappedByPattern,,瞄定,丛矢,False,True,瞄定,MappedByPattern,,瞄定,叢矢,hv_skill_ability_mark_target_expertise_name
Choose the targets to focus fire.,选定目标集中射击。,MappedByPattern,,选定目标集中射击。,目标只有一个。,True,True,選定目標集中射擊。,MappedByPattern,,選定目標集中射擊。,目標只有一個。,hv_skill_ability_mark_target_expertise_description
Mark Target,丛矢,MappedByPattern,,瞄定,丛矢,False,True,瞄定,MappedByPattern,,瞄定,叢矢,hv_skill_ability_mark_target_cunning_name
Choose the targets to focus fire.,选定目标集中射击。,MappedByPattern,,选定目标集中射击。,目标只有一个。,True,True,選定目標集中射擊。,MappedByPattern,,選定目標集中射擊。,目標只有一個。,hv_skill_ability_mark_target_cunning_description
Mark Target,丛矢,MappedByPattern,,瞄定,丛矢,False,True,瞄定,MappedByPattern,,瞄定,叢矢,hv_skill_ability_mark_target_authority_name
Choose the targets to focus fire.,选定目标集中射击。,MappedByPattern,,选定目标集中射击。,目标只有一个。,True,True,選定目標集中射擊。,MappedByPattern,,選定目標集中射擊。,目標只有一個。,hv_skill_ability_mark_target_authority_description
Knowledge of the Spirit,神识,Vanilla,神识,神识,神识,False,True,靈之識見,Vanilla,靈之識見,靈之識見,神識,hv_skill_ability_knowledge_of_the_spirit_name
"True strength lies not in the mind or body, but within the spirit.",不在身心，而在其神,Vanilla,不在身心，而在其神,不在身心，而在其神,不在身心，而在其神。,True,True,真正的力量不在身體也不在心思，而是在靈魂中。,Vanilla,真正的力量不在身體也不在心思，而是在靈魂中。,真正的力量不在身體也不在心思，而是在靈魂中。,不在身心，而在其神。,hv_skill_ability_knowledge_of_the_spirit_description
Knowledge of the Mind,心识,Vanilla,心识,心识,心识,False,True,心之識見,Vanilla,心之識見,心之識見,心識,hv_skill_ability_knowledge_of_the_mind_name
If you can conquer the mind of the enemy then half the battle is won.,用兵之道，攻心为上,Vanilla,用兵之道，攻心为上,用兵之道，攻心为上,用兵之道，攻心为上。,True,True,若能征服敵軍的軍心，戰鬥便贏了一半。,Vanilla,若能征服敵軍的軍心，戰鬥便贏了一半。,若能征服敵軍的軍心，戰鬥便贏了一半。,用兵之道，攻心爲上。,hv_skill_ability_knowledge_of_the_mind_description
Knowledge of the Body,体识,Vanilla,体识,体识,体识,False,True,身之識見,Vanilla,身之識見,身之識見,體識,hv_skill_ability_knowledge_of_the_body_name
"Sometimes it's not what you hit or how hard, but where.",力不在大，而在于准,Vanilla,力不在大，而在于准,力不在大，而在于准,力不在大，而在于准。,True,True,有時重點不在打中了什麼、打得多用力，而是打在哪裡。,Vanilla,有時重點不在打中了什麼、打得多用力，而是打在哪裡。,有時重點不在打中了什麼、打得多用力，而是打在哪裡。,力不在大，而在於準。,hv_skill_ability_knowledge_of_the_body_description
Kingmaker,王佐,MappedByPattern,,王佐,王佐,False,False,王佐,MappedByPattern,,王佐,王佐,hv_skill_ability_kingmaker_cunning_name
Xun Yu has the power to influence the emperor. No one doubts his reputation.,「吾之子房也。」,Procrastinator,,荀彧是位有能辅佐帝王之士，没有人会怀疑这一点。,「吾之子房也。」,False,False,「吾之子房也。」,Procrastinator,,荀彧是位有能輔佐帝王之士，沒有人會懷疑這一點。,「吾之子房也。」,hv_skill_ability_kingmaker_cunning_description
Judgement,慎断,MappedByPattern,慎断,慎断,慎断,False,True,明察秋毫,MappedByPattern,明察秋毫,明察秋毫,慎斷,hv_skill_ability_judgement_name
Do not let emotion cloud your acuity.,不可令情绪掩盖你的眼界。,MappedByPattern,不可令情绪掩盖你的眼界,不可令情绪掩盖你的眼界,不可令情绪掩盖你的眼界。,False,True,莫讓情緒蒙蔽心靈的敏銳。,MappedByPattern,莫讓情緒蒙蔽心靈的敏銳。,莫讓情緒蒙蔽心靈的敏銳。,不可令情緒掩蓋你的眼界。,hv_skill_ability_judgement_description
Inward Focus,内凝,Vanilla,内凝,内凝,内凝,False,True,專注內在,Vanilla,專注內在,專注內政,內凝,hv_skill_ability_inward_focus_expertise_name
