Text,Count,MappedByText,MappedByPattern,File
Escaped death.,1,,天降箭雨，無路可逃。,hv_TEXT_unit_abilities_hit_effects.loc.tsv
Established (6),2,,,hv_TEXT_effects_pooled_resource.loc.tsv
Established (7),2,,,hv_TEXT_effects_pooled_resource.loc.tsv
Established (8),2,,,hv_TEXT_effects_pooled_resource.loc.tsv
"Even as the Han crumbles, embers of its glory remain. These warriors serve the prince of Chenliu, Liu Chong. Clad in gold-lacquered armor, they form a resplendiscent sight on the battlefield, reminding all that the fortunes of the Han have not yet faded while these men stand firm. \\n\\n Gifted with fine armor from their prince, these soldiers expertly wield their halberds in defence of the Han. Advancing on their foe as a disciplined unit, they are a living reminder to the greatness of the Han.",1,汉德虽衰，餘威猶存。這些戰士為陳王劉寵效勞。他們身穿金漆鎧甲，在戰場上形成一道璀璨的風景，提醒世人，只要他們還站著，漢室就還沒有消亡。\\n\\n這些士兵從陳王那裡得到了精美的盔甲，他們熟練地揮舞著他們的長戟來保衛漢室。作為一支紀律嚴明的部隊，他們向敵人挺進，來見證漢室的輝煌。,,hv_TEXT_unit_long_desc.loc.tsv
"Even as the Han crumbles, embers of its glory remain. These warriors serve the prince of Chenliu, Liu Chong. Clad in gold-lacquered armor, they form a resplendiscent sight on the battlefield, reminding all that the fortunes of the Han have not yet faded while these men stand firm. \\n\\n These royal guards are a beacon of hope to their allies. Gifted with fine steeds to ride, and clad in the heaviest armour availible from the princely armouries, each man has been trained in a myriad of weapons, from crossbow to the noble Jian sword and shield and is a veteran of many battles.",1,汉德虽衰，餘威猶存。這些戰士為陳王劉寵效勞。他們身穿金漆鎧甲，在戰場上形成一道璀璨的風景，提醒世人，只要他們還站著，漢室就還沒有消亡。\\n\\n這些禁衛軍是他們盟友的希望。每人都被賜予良馬重甲，受過各種武器的訓練，從弓弩到劍盾，也都是經過許多戰鬥的老兵。,,hv_TEXT_unit_long_desc.loc.tsv
"Even as the Han crumbles, embers of its glory remain. These warriors serve the prince of Chenliu, Liu Chong. Clad in gold-lacquered armor, they form a resplendiscent sight on the battlefield, reminding all that the fortunes of the Han have not yet faded while these men stand firm.\\n\\n These particular soldiers are armed with crossbows, allowing them to barrage the enemies of the Han relentlessly with volley after volley of armour-piercing bolts. Should the enemy cavalry think to charge, they are in for an unpleasant surprise: these warriors also wield spears and shields and will not hesitate to strike down any horseman who comes too close!",1,汉德虽衰，餘威猶存。這些戰士為陳王劉寵效勞。他們身穿金漆鎧甲，在戰場上形成一道璀璨的風景，提醒世人，只要他們還站著，漢室就還沒有消亡。\\n\\n這些特殊的士兵裝備著弩箭，可以用穿甲弩矢無情地對漢室的敵人進行猛烈的炮擊。如果敵人的騎兵想衝鋒，他們會有一個不愉快的驚喜：這些戰士還裝備著長矛和盾牌，會毫不猶豫地擊倒任何靠近的騎兵！,,hv_TEXT_unit_long_desc.loc.tsv
"Even in the elite Xiliang army, having a big sword can only bring advantages to a commander.",1,就算在精銳的西涼軍裏，一把大刀對於將領來説也頗有好處。,,hv_TEXT_unit_desc.loc.tsv
"Even on the battlefield, witty talk boosts your energy.",2,,能言之人在就算戰場上也能用脣舌鼓舞三軍。,[03]__MTU_skills__Passive_buff.loc.tsv
Even the strongest of warriors are temporarily immobilized when a pressure point is struck.,2,,摧心剖肝，直中要害。,[03]__MTU_skills___Projectile.loc.tsv
Every person has their own path.,135,,各行其道,hv_TEXT_skills_additional.loc.tsv
"Every spring, characters gain additional experience.",1,每年春季，角色會獲得額外經驗。,,hv_TEXT_effects_building.loc.tsv
Eviscerate,5,,剔骨,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
"Excellent Ji wielders, these soldiers are loyal to Liu Bao to protect the honor of Jing province.",1,精通戟術的卓越戟兵，忠心耿耿地為劉表保衛荊州的榮譽。,,hv_TEXT_unit_desc.loc.tsv
Exemplar,4,,為人典範,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
Exemplars of the Tao,1,,,hv_TEXT_unit_text_replacements.loc.tsv
Exemplary Strike,4,,搗穴,[03]__MTU_skills___Splash_attack.loc.tsv
Expertise,2,,專精,z_dummy_hv_TEXT_non_deployable.loc.tsv
Fa Zheng,1,,法正,hv_TEXT_cb_loadout.loc.tsv
Faith makes a miracle.,1,,信念可帶來奇跡。,hv_TEXT_unit_abilities.loc.tsv
Faith of the Messengers,3,,使者信念,hv_TEXT_unit_abilities.loc.tsv
Falcon,1,,,[02]__MTU_items__Bow.loc.tsv
False Retreat,4,,血鬥,[03]__MTU_skills__Passive_buff.loc.tsv
"Famed for setting the ambush that killed Sun Jian, Huang Zu guards the Yangtze, lying in wait and striking at the most opportune moment.",1,,,[01]__MTU_generals__Wood_champion.loc.tsv
Fan the flames of war with inextinguishable anger.,3,,以不滅的怒氣煽動戰火。,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
Fanatics,1,狂信徒,,hv_TEXT_unit_text_replacements.loc.tsv
Fanged Flurry,4,,猛蛇,[03]__MTU_skills___Splash_attack.loc.tsv
Fanged Viper,1,,,[02]__MTU_items__Weapons.loc.tsv
Fatal Attraction,4,,嫵媚,[03]__MTU_skills__Active_debuff.loc.tsv
"Father and daughter, together in battle, is an ill omen for their rivals as was the mythical Hong.",2,,父女同心，無往不利。,[03]__MTU_skills__Passive_buff.loc.tsv
Favourable Skies,4,,有利天候,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
Fear of Gunpowder,3,,懼怕火器,hv_TEXT_unit_abilities_hit_effects.loc.tsv
"Fearing retribution, enemies hesitate to fire upon a scion of the Han.",6,,敵人並不敢傷害漢室宗親。,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
Fearless Charge,3,,無畏衝鋒,hv_TEXT_unit_abilities.loc.tsv
Fearsome Cavalry,1,駭人鐵騎,,hv_TEXT_events.loc.tsv
Femme Fatale,1,傾國美人,,[dummy]__MTU_dummy.loc.tsv
Ferghana horses are bred to equip cavalry forces.,2,養育大宛馬來裝備騎兵部隊。,,hv_TEXT_pooled_resource.loc.tsv
Ferocity,3,,凶猛殘暴,hv_TEXT_unit_abilities.loc.tsv
Few can escape this warrior's pursuit.,2,,很少有人能逃過這位勇士的追殺。,hv_TEXT_skills_skill_ability__historical.loc.tsv
"Fierce as a lion and as unrelenting as the wind, Pang De may be the finest warrior Xiliang ever produced.",2,,龐德既能與關公死戰，那也必能匹敵馬超。,[03]__MTU_skills___Splash_attack.loc.tsv
Fighting revitalises them.,1,,戰鬥使他們重煥活力。,hv_TEXT_unit_abilities.loc.tsv
Fire Archers: for recruitment: %+n,1,,可招募火矢弓兵數：%+n,hv_TEXT_effects_unit_cap.loc.tsv
Fire Bomb,3,,火油彈,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
Fire Control,11,,穿楊,hv_TEXT_skills_skill_ability__historical.loc.tsv
Fire Fiends,1,火煞兵,,hv_TEXT_unit_text_replacements.loc.tsv
Fire Resistance: %d%%||Damage of flaming attacks is reduced by this amount.,1,,,hv_TEXT_etc.loc.tsv
Fire explosive bolts to demoralise hostile units.,1,,扔擲爆裂彈來打擊敵軍士氣。,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
Fire whilst moving,1,,,hv_TEXT_unit_ui_bullet.loc.tsv
First Characteristic,205,,特性一,hv_TEXT_skills_additional.loc.tsv
Fist of the Righteous,4,,正氣,[03]__MTU_skills___Splash_attack.loc.tsv
Fists of the Bandit Queen,1,,,hv_TEXT_unit_text_replacements.loc.tsv
Fixing together and telling her about the fault,1,,,[04]__MTU_events___daughter.loc.tsv
Flame Breathing,3,,吐火,hv_TEXT_skills_skill_ability_name_desc.loc.tsv
Flame Sling,1,擲火,,hv_TEXT_unit_ui_bullet.loc.tsv
Flames of the Phoenix,7,,鳳凰之火,hv_TEXT_skills_skill_ability__historical.loc.tsv
Flammable rosin sticks to clothing and armour.,1,,將易燃的樹脂黏着着於敵人的鎧甲之上。,hv_TEXT_unit_abilities_hit_effects.loc.tsv
"Flank, Charge, Chase",91,包抄，衝鋒，追擊,,hv_TEXT_unit_ui_group_t1_VM.loc.tsv
Fleet-footed,12,,腳步迅捷,hv_TEXT_skills_skill_ability__historical.loc.tsv
Flexibility,1,,無往不適,hv_TEXT_skills_basic.loc.tsv
Flower of the Battlefield,8,,戰場之花,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
Flower on the Battlefield,8,,龍女,[03]__MTU_skills__Passive_buff.loc.tsv
Flying White,1,,,[02]__MTU_items__Accessory.loc.tsv
Follow Heaven’s Will,1,,,[04]__MTU_events__Common.loc.tsv
Follower,1,,,[01]__MTU_generals__Metal_sentienl.loc.tsv
Followers of the Flame: for recruitment: %+n,1,,可招募火神信徒數：%+n,hv_TEXT_effects_unit_cap.loc.tsv
"Following your recent success, the captain of the Northern Army has come to pledge his devotion to you. He brings with him the might of the professional soldiers he commands.",16,鑒於您近期勢如破竹，北軍中候已宣誓效忠於您。他所指揮的精良軍隊也隨同前來，加入您麾下。,,hv_TEXT_events.loc.tsv
"For farmers, they are higher than the emperor.",1,對佃戶來説，他們的地位比皇帝還高。,,z_dummy_hv_TEXT_non_deployable.loc.tsv
Forced March,4,,興師,[03]__MTU_skills__Passive_buff.loc.tsv
Foresight,4,,縱觀全局,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
Forest Strategy,3,,森林戰略,hv_TEXT_unit_abilities.loc.tsv
Forest Strider,3,,森林適性,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
"Forged in the crucible of conflict with the nomads, their discipline and courage bloom in battle.",2,,在與游牧民族的烈火鍛鍊中，他們的紀律和勇氣在戰鬥中綻放。,hv_TEXT_unit_abilities.loc.tsv
Forgive him,1,不计前嫌,,[dummy]__MTU_dummy.loc.tsv
Form an air-tight defence.,3,,組成無隙可乘的防禦陣型。,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
Fortification Tactics,7,,堅壁自守,hv_TEXT_unit_abilities.loc.tsv
Fortitude / Trophy Cabinet,1,堅韌度 / 戰利品櫃,,hv_TEXT_frontend_features.loc.tsv
"Fortunately, nothing of note happened during the banquet.",1,幸運的是，宴會中沒發生什麼大事。,,ifo_text_TWEAK.loc.tsv
"Fortune has smiled upon us today! Long have you heard the rumors of a maiden hailing from Hebei, enchanting in both appearance and nature. Now, this Lady Zhen has come to join our worthy cause. Rarely are rumors more than partial truth, but even the rumors did not do Lady Zhen justice. Fate has brought you together and, by your own will, you can ensure that it remains so.",1,,,[04]__MTU_events___Concubine.loc.tsv
Fortune is with them.,1,,正是鴻運當頭之時。,hv_TEXT_unit_abilities.loc.tsv
Foul Wits,4,,遠矚,[03]__MTU_skills__Passive_debuff.loc.tsv
Free-spirited Heroine,2,,,[01]__MTU_generals__Wood_champion.loc.tsv
Frenzy,7,,狂暴,[03]__MTU_skills__Passive_buff.loc.tsv
Friend,1,,,[01]__MTU_generals__Metal_sentienl.loc.tsv
From the Ashes,1,,死灰復燃,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
Frontier Assault Cavalry,1,,北疆突擊騎兵,hv_TEXT_unit_text_replacements.loc.tsv
Frontier Lancer Cavalry,1,,北疆槍騎,hv_TEXT_unit_text_replacements.loc.tsv
Frontline Observation,7,,前線查探,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
Fury of Beihai Assaults,1,,北海之怒衝鋒兵,hv_TEXT_unit_text_replacements.loc.tsv
Fury of Beihai Marksmen,1,,北海之怒射手,hv_TEXT_unit_text_replacements.loc.tsv
Gain military benefits at the expense of the relations with other factions.,1,獲得軍事增益，但也會惡化與其他勢力的關係。,,hv_TEXT_frontend_features.loc.tsv
Gallants of the People,1,,,hv_TEXT_unit_text_replacements.loc.tsv
Gan Ning,1,,,hv_TEXT_cb_loadout.loc.tsv
"Gan Ning moves ever faster, as fire spreads through the forest.",1,,甘寧有如燎原野火，動作越發迅捷。,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
Gao Gan's Armour,1,,高幹的護甲,hv_TEXT_ceo_career.loc.tsv
Gao Shun,1,,,hv_TEXT_cb_loadout.loc.tsv
Garrison Reinforcement,1,駐軍補員,,hv_TEXT_skills_additional.loc.tsv
Garrisoned armies will support the administration of the local county.,1,駐軍會協助縣內行政事宜。,,hv_TEXT_effects_pooled_resource.loc.tsv
Gathering Volunteers,1,召集義勇,,hv_TEXT_skills_additional.loc.tsv
"Gaun Xing drives his men without mercy, yet it always proves effective.",2,,關興對他的手下也從不手下留情，這令他的部曲令人生畏。,[03]__MTU_skills__Passive_buff.loc.tsv
General,8,,,[01]__MTU_generals__Earth_commander.loc.tsv
General-in-Chief of Zhong,2,,,[01]__MTU_generals__Earth_commander.loc.tsv
Generations working the land will breed a kinship with it.,4,,世世代代在土地上生息能使人培養出與土地的密切情誼。,hv_TEXT_skills_skill_ability__historical.loc.tsv
Geographic Mastery,2,,地理專才,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
Ghost of the woods,4,,林中之鬼,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
Give a man a fish and you feed him for a day. Teach him to fish and you feed him for a lifetime.,1,,授人以魚不如教之以漁。,hv_TEXT_skills_basic.loc.tsv
Glaive & Bow Infantry (Buqu),5,,大刀步兵與弓兵（部曲）,hv_TEXT_unit_ui_group_t2.loc.tsv
Glaive & Bow Infantry (Elite),5,,大刀步兵與弓兵（精銳）,hv_TEXT_unit_ui_group_t3.loc.tsv
Glaive & Bow Infantry (Militia),5,,大刀步兵與弓兵（義勇）,hv_TEXT_unit_ui_group_t1.loc.tsv
Glaive Infantry (Buqu),8,,大刀步兵（部曲）,hv_TEXT_unit_ui_group_t2_VM.loc.tsv
Glaive Infantry (Elite),7,,大刀步兵（精銳）,hv_TEXT_unit_ui_group_t3_VM.loc.tsv
Glaive Infantry (Militia),7,,大刀步兵（義勇）,hv_TEXT_unit_ui_group_t1_VM.loc.tsv
God of War,1,,武聖,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
"Goddess of Fire, Lady Zhurong",1,,,[04]__MTU_events___Concubine.loc.tsv
Gong Du,1,,,hv_TEXT_cb_loadout.loc.tsv
Gongsun Zan,1,,,hv_TEXT_cb_loadout.loc.tsv
Good against armour,1,,,hv_TEXT_unit_ui_bullet.loc.tsv
Good against shields,1,,,hv_TEXT_unit_ui_bullet.loc.tsv
Goshawk,1,,,[02]__MTU_items__Bow.loc.tsv
Goshawk Cavalry,1,蒼鷹突騎,,hv_TEXT_unit_text_replacements.loc.tsv
Governor,2,,,hv_TEXT_cb_loadout.loc.tsv
"Great danger hides in the early mist of day. Phantoms that will maim their prey, or whose choking gass leaves them gasping for air.",1,,,hv_TEXT_unit_desc.loc.tsv
Greedy Tyrant,3,,,[01]__MTU_generals__Earth_commander.loc.tsv
Grenade!,2,,爆彈,hv_TEXT_unit_abilities.loc.tsv
"Guan Yinping tried to swing her father's Green Dragon Crescent Blade secretly, but accidentally broke the bookshelf that her father had cherished. Guan Yu came into the room late at night to read a book and found this ridiculous situation. Guan Yu was worried about how to talk.",1,,,[04]__MTU_events___daughter.loc.tsv
Guan Yinping's Armour,1,,,[02]__MTU_items__Armour.loc.tsv
"Guan Yinping, the precious daughter of peerless Guan Yu, now calls our faction home. Her charm is undeniable, but the apple did not fall far from the tree in the matters of the battlefield, she’s both stoic beauty and a force to be reckoned with. Thus, it’s no surprise that men across the realm desperately seek her hand, but few had the courage or fitting status to dare to approach her legendary father. As for you ...",1,,,[04]__MTU_events___Concubine.loc.tsv
Guan Yu,1,,,hv_TEXT_cb_loadout.loc.tsv
"Guan Yu's face, which seems to have nothing to turn redder, burned redder. But rather than getting angry, he's not gonna know what she did wrong.\\nhe wanted Yinping to feel it for herself.  So Guan Yu instructed Guan Yinping to take care of the mess herself.",1,,,[04]__MTU_events___daughter.loc.tsv
Guanxibing Spearmen,1,,關西長槍兵,hv_TEXT_unit_text_replacements.loc.tsv
Guanxibing Swordsmen,1,,關西劍兵,hv_TEXT_unit_text_replacements.loc.tsv
Guardian,7,,衛足,[03]__MTU_skills__Active_buff.loc.tsv
Guardian of the People,2,,,[01]__MTU_generals__Wood_champion.loc.tsv
Guardians of Jing,3,,能武,hv_TEXT_unit_abilities.loc.tsv
Guardians of the Land,1,,,hv_TEXT_unit_text_replacements.loc.tsv
Gunpowder,1,,,hv_TEXT_unit_ui_bullet.loc.tsv
Gunpowder Infantry (Buqu),3,,火器步兵（部曲）,hv_TEXT_unit_ui_group_t2.loc.tsv
Gunpowder Infantry (Elite),3,,火器步兵（精銳）,hv_TEXT_unit_ui_group_t3.loc.tsv
Gunpowder Infantry (Militia),3,,火器步兵（義勇）,hv_TEXT_unit_ui_group_t1.loc.tsv
Guo Jia,1,,,hv_TEXT_cb_loadout.loc.tsv
Guo Si's Armour,1,郭汜的護甲,,hv_TEXT_ceo_career.loc.tsv
Guoda,1,,,[05]__MTU_sys__Names.loc.tsv
Hafted Weapon Cavalry (Buqu),7,,持斧騎兵（部曲）,hv_TEXT_unit_ui_group_t2_VM.loc.tsv
Hafted Weapon Cavalry (Elite),7,,持斧騎兵（精銳）,hv_TEXT_unit_ui_group_t3_VM.loc.tsv
Hafted Weapon Cavalry (Militia),7,,持斧騎兵（義勇）,hv_TEXT_unit_ui_group_t1_VM.loc.tsv
Hafted Weapon Infantry (Buqu),17,,持斧步兵（部曲）,hv_TEXT_unit_ui_group_t2_VM.loc.tsv
Hafted Weapon Infantry (Captain),1,,持斧步兵（校尉）,hv_TEXT_unit_ui_group_VM.loc.tsv
Hafted Weapon Infantry (Elite),19,,持斧步兵（精銳）,hv_TEXT_unit_ui_group_t3_VM.loc.tsv
Hafted Weapon Infantry (Militia),16,,持斧步兵（義勇）,hv_TEXT_unit_ui_group_t1_VM.loc.tsv
Hail of Arrows,2,,箭如雨下,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
"Hailing from Taishan, these women have coated their arrow points in a special ointment, made from poisonous herbs native to the region. In battle, A volley from these archers will soon leave the enemy gasping for air as the poison very quickly spreads through their veins. A wise commander will use these soldiers to spread terror through the enemy ranks, yet keep them well-protected: they are vulnerable to cavalry, as their range is limited.",1,這些女弓手源自泰山，在箭頭上塗抹了一種由該地區特有的毒草製成的特殊膏劑。在戰鬥中，這些弓手的箭雨很快會讓敵人因毒素快速傳播而窒息。明智的領軍會利用這些士兵在敵軍中播撒恐怖，但也要保護好她們：她們的射程有限，無法應對騎兵。,,hv_TEXT_unit_long_desc.loc.tsv
Halberd Infantry (Buqu),1,,持戟步兵（部曲）,hv_TEXT_unit_ui_group_t2.loc.tsv
Halberd Infantry (Elite),2,,持戟步兵（精銳）,hv_TEXT_unit_ui_group_t3.loc.tsv
Halberd Infantry (Militia),1,,持戟步兵（義勇）,hv_TEXT_unit_ui_group_t1.loc.tsv
Half Barded,3,,輕馬鎧,hv_TEXT_unit_abilities.loc.tsv
Hamstring,4,,削斷腿筋,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
Han Provincial Repeating Crossbowmen,1,,州屬連弩兵,hv_TEXT_unit_text_replacements.loc.tsv
Han Provincial Spearmen,1,,州屬長槍兵,hv_TEXT_unit_text_replacements.loc.tsv
Han Sui,1,,,hv_TEXT_cb_loadout.loc.tsv
Hand-Ji Infantry (Buqu),2,,手戟步兵（部曲）,hv_TEXT_unit_ui_group_t2.loc.tsv
Hand-Ji Infantry (Elite),2,,手戟步兵（精銳）,hv_TEXT_unit_ui_group_t3.loc.tsv
Hand-Ji Infantry (Militia),2,,手戟步兵（義勇）,hv_TEXT_unit_ui_group_t1.loc.tsv
Handmaid Guards,1,護衛侍女,,hv_TEXT_unit_text_replacements.loc.tsv
"Hardened Xiliang soldies, these elite spearmen will hold the line against all comers.",1,這些精銳矛兵是百經錘煉的西涼戰士，會堅守陣地對抗所有來敵。,,hv_TEXT_unit_desc.loc.tsv
"Having defended their home for long enough, even militia may grow to rival professional soldiers.",1,,,hv_TEXT_unit_desc.loc.tsv
"Having fled from their homes, these craftsmen and artisans turn their skills to the defence of their new home and master. \\n\\n Having been selected as the brightest from the many refugees flooding his lands, these engineers serve Tao Qian to the best of their ability. Wielding crossbows, they provide support from afar and will deploy smoke bombs and caltrops when an enemy strays too close. However, these men are not proper soldiers and should not be relied upon to hold the line in melee.",1,這些工匠逃離了家園，用他們的技能來保衛新家和新主公。\\n\\n陶謙從眾多湧入他領地的難民中挑選出最傑出的工匠，全力為他效力。他們從遠處用弩提供支援。當敵人接近時，他們會使用煙霧彈和鐵蒺藜。然而，這些人並非正規士兵，在近戰中無法堅守陣線。,,hv_TEXT_unit_long_desc.loc.tsv
He Man,1,,,hv_TEXT_cb_loadout.loc.tsv
He Yi,1,,,hv_TEXT_cb_loadout.loc.tsv
He was also a bandit once.,1,,,hv_TEXT_ceo_career.loc.tsv
He was loved by everyone.,1,,,hv_TEXT_ceo_career.loc.tsv
Heart Seeker,1,,一箭穿心,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
"Heaven decides the victor, but Chunyu Qiong will not surrender. As death approaches, he redoubles his efforts in a desperate last stand.",2,,奮不顧身，得失難記。,[03]__MTU_skills__Passive_buff.loc.tsv
Heavenly Color,2,,國色,[03]__MTU_skills___Court.loc.tsv
Heavenly Grace,2,,天仙氣質,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
Heavenly Presence,1,,天人親臨,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
"Heavily armored crossbowmen of Beihai, capable of delivering enhanced ranged support in coordination with Buqu units.",1,北海重甲弩兵，配合部曲能提供增強的遠程支援。,,hv_TEXT_unit_desc.loc.tsv
Heavily-armoured troops carrying iron bows that requires very strong tension. ,1,重裝部隊，携帶張力很强的鐵弓。,,hv_TEXT_unit_desc.loc.tsv
Heavy Cavalry,2,,,hv_TEXT_unit_ground_type.loc.tsv
Heavy Infantry,1,,,hv_TEXT_unit_ground_type.loc.tsv
Heavy bow,1,,,hv_TEXT_unit_ui_bullet.loc.tsv
Hebei Spearmen,1,,河北長槍兵,hv_TEXT_unit_text_replacements.loc.tsv
Hebei Sword Cavalry,1,,河北劍騎兵,hv_TEXT_unit_text_replacements.loc.tsv
Hegemon's Aide,1,,,[dummy]__MTU_dummy.loc.tsv
"Heirs of the old dynasty of Chu, the soldiers bred by this land share its temperament: fierce in battle and loyal to the end. They are a fitting fighting force for any warlord or would-be emperor. \\n\\n Long axes are intimidating to behold, especially in the hand of such a warlike people. Rending shields and armor alike, they are known to be good shock infantry that echo the glory of their ancient dynasty. ",1,在這片土地上培養出來的士兵是楚國舊王朝的繼承人，他們有著共同的氣質：鬥志昂揚，忠貞不渝。他們是使任何軍閥或皇帝適意的戰鬥力量。\\n\\n長斧令人望而生畏，尤其是在這樣一個好戰的民族手中。他們被認為是優秀的突擊步兵，輕易砍裂盾牌和盔甲，重振他們的古代王朝的榮耀。,,hv_TEXT_unit_long_desc.loc.tsv
"Heirs of the old dynasty of Chu, the soldiers bred by this land share its temperament: fierce in battle and loyal to the end. They are a fitting fighting force for any warlord or would-be emperor. \\n\\n Skilled archers, these men provide covering fire for their army as they maneuver nimbly into the most advantageous positions. They should be protected from cavalry however, as they are lightly armoured.",1,在這片土地上培養出來的士兵是楚國舊王朝的繼承人，他們有著共同的氣質：鬥志昂揚，忠貞不渝。他們是使任何軍閥或皇帝適意的戰鬥力量。\\n\\n這些人是熟練的弓箭手，可以靈活地移動到最有利的位置為他們的軍隊提供掩護火力。然而他們需要保護免受騎兵攻擊，因為他們只有輕護甲。,,hv_TEXT_unit_long_desc.loc.tsv
"Heirs of the old dynasty of Chu, the soldiers bred by this land share its temperament: fierce in battle and loyal to the end. They are a fitting fighting force for any warlord or would-be emperor. \\n\\n These warriors bring caltrops to battle, stunting any enemy advance as the foe perishes on the unseen traps. Any survivors are quickly dealt with by the blades these warriors wield. A skilled general would be wary of archers though: they are lightly armored and carry no shield.",1,在這片土地上培養出來的士兵是楚國舊王朝的繼承人，他們有著共同的氣質：鬥志昂揚，忠貞不渝。他們是使任何軍閥或皇帝適意的戰鬥力量。\\n\\n這些戰士携帶蒺藜，設下看不見的陷阱來阻礙敵人前進。任何倖存者都會很快被這些戰士的利刃處理掉。一個熟練的將軍會小心防備弓箭手：他們的盔甲很輕，沒有盾牌。,,hv_TEXT_unit_long_desc.loc.tsv
"Heirs of the old dynasty of Chu, the soldiers bred by this land share its temperament: fierce in battle and loyal to the end. They are a fitting fighting force for any warlord or would-be emperor. \\n\\n Wielding spear and shield, these soldiers form a defensive screen for their army against calvary charges. Their armor is lighter than most other armies, but this makes them more mobile: many horsemen have been taken off-guard by a sudden rush of Jingchu Spearmen!",1,在這片土地上培養出來的士兵是楚國舊王朝的繼承人，他們有著共同的氣質：鬥志昂揚，忠貞不渝。他們是使任何軍閥或皇帝適意的戰鬥力量。\\n\\n這些士兵使用長矛和盾牌，為他們的軍隊形成一道防禦屏障，抵禦騎兵衝鋒。他們的盔甲比其他大多數軍隊都輕，但這使他們更加機動：許多騎兵被突如其來的荊楚矛兵打了個措手不及！,,hv_TEXT_unit_long_desc.loc.tsv
Her cultured and considerate approach boosts the army’s fighting skill and spirit.,2,,,[03]__MTU_skills__Active_buff.loc.tsv
Her dignity and wisdom are already renown near and far.,1,,孫吳國太爲人剛強正直，德才兼備。,[03]__MTU_skills___Court.loc.tsv
"Her elegance, determination, and beauty made her coveted by all the heroes of the age.",1,,,hv_TEXT_ceo_career.loc.tsv
Her knowledge spreads to fellow generals around her like the veins of a stream.,2,,沒人能不被蔡文姬渾身上下都散發着的學識所影響。,[03]__MTU_skills__Passive_buff.loc.tsv
Her swords are fast and unpredictable like two rogue waves sweeping across the ocean.,1,,,[02]__MTU_items__Weapons.loc.tsv
Herald,1,,先驅,z_dummy_hv_TEXT_non_deployable.loc.tsv
Heroic Outlaws,1,英勇匪徒,,hv_TEXT_unit_text_replacements.loc.tsv
Hidden Assaults,1,隱秘突擊兵,,hv_TEXT_unit_text_replacements.loc.tsv
Hidden Flow,1,,,[02]__MTU_items__Weapons.loc.tsv
Hidden Snakes,1,隱蛇兵,,hv_TEXT_unit_text_replacements.loc.tsv
Hidden Snakes and Rapid Tigers Tally,1,隱蛇兵與虎賁軍虎符,,hv_TEXT_effects_ceo.loc.tsv
Hidden Spear Assaults,1,隱槍突擊兵,,hv_TEXT_unit_text_replacements.loc.tsv
"High Hit Rate, Average Armour-Piercing Damage",29,命中率高，穿甲傷害一般,,hv_TEXT_unit_ui_group_t1.loc.tsv
"High Hit Rate, High Armour-Piercing Damage",13,命中率高，穿甲傷害高,,hv_TEXT_unit_ui_group_t1.loc.tsv
"High morale unlocks their true potential, enhancing their prowess in the heat of battle.",2,,士氣高昂解鎖其真正潛力，在激烈戰鬥中提升其戰力。,hv_TEXT_unit_abilities.loc.tsv
Hire the Sogdian mercenaries,1,雇傭粟特傭兵,,hv_TEXT_events.loc.tsv
His relentless attack makes foes cower before him!,1,,他無止息的瘋狂攻勢令敵人心驚膽寒！,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
His spirit is like a tiger. It takes great courage to face him.,3,,勇武如猛虎，膽敢與此人對峙之人可稱之爲有萬夫不當之勇。,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
Hit Bonus,1,命中率加成,,hv_TEXT_etc.loc.tsv
Hold the Ceremony to Heaven,1,,,[04]__MTU_events__Common.loc.tsv
Hollowed Square (Ranged),3,,中空方陣（遠程）,hv_TEXT_unit_abilities.loc.tsv
Home region of the Danyang army,1,丹陽軍起源地,,hv_TEXT_region_army.loc.tsv
Home region of the Ironfist cavalry,1,鐵拳騎兵起源地,,hv_TEXT_region_army.loc.tsv
Home region of the Jingchu army,1,荊楚軍起源地,,hv_TEXT_region_army.loc.tsv
Home region of the Xiliang army,1,西涼軍起源地,,hv_TEXT_region_army.loc.tsv
