eng,zh-cn,zh-tw,File
Home region of the Xiliang army,西凉军起源地,西涼軍起源地,hv_TEXT_region_army.loc.tsv
Hooves of Rage,怒蹄,怒蹄,hv_TEXT_unit_abilities.loc.tsv
Horse Breeding,养马,養馬,hv_TEXT_pooled_resource.loc.tsv
Horse Breeding / Foraging & Supplies,养马 / 自行觅食与补给,養馬 / 自行覓食與補給,hv_TEXT_frontend_features.loc.tsv
Horse Breeding: Abundant,养马：充裕,養馬：充裕,hv_TEXT_effects_pooled_resource.loc.tsv
Horse Breeding: Heavenly,养马：天助,養馬：天助,hv_TEXT_effects_pooled_resource.loc.tsv
Horse Breeding: Inadequate,养马：不足,養馬：不足,hv_TEXT_effects_pooled_resource.loc.tsv
Horse Breeding: Ordinary,养马：普通,養馬：普通,hv_TEXT_effects_pooled_resource.loc.tsv
Horse Breeding: Sufficient,养马：有余,養馬：有餘,hv_TEXT_effects_pooled_resource.loc.tsv
Hostess,女主人,女主人,z_dummy_hv_TEXT_non_deployable.loc.tsv
Hou Jinting,,,[01]__MTU_generals__Water_strategist.loc.tsv
House Yuan's Officer,袁氏士官,袁氏士官,hv_TEXT_effects_ceo.loc.tsv
Household Ji Guards of Yuan,袁氏家族戟卫,袁氏家族戟衛,hv_TEXT_unit_text_replacements.loc.tsv
Hua Lanli,华兰丽,華蘭麗,hv_TEXT_cb_loadout.loc.tsv
Hunting Area,狩猎区,狩獵區,hv_TEXT_building.loc.tsv
I have no choice but to pretend that I am a warrior who knows no fear.,我别无选择，只能假装自己是一个无畏战士,我别无选择，只能假装自己是一個無畏战士,hv_TEXT_unit_abilities.loc.tsv
"If the year is beyond 195 CE and the emperor token is still in play, then the Imperial Intrigue panel will become unlocked.",如果年份已超过公元195年，而汉朝天子依然存在，则朝廷权谋面板将会解锁。,假如公元195年後象徵性的皇帝依然在位，到時候朝廷權謀面板將會解除鎖定。,ifo_text_TWEAK.loc.tsv
"If you hit them first, they may not hit you.",,,hv_TEXT_unit_abilities.loc.tsv
Immature but passionate.,不经世故但斗志昂扬。,不經世故但鬥志昂揚。,hv_TEXT_unit_abilities.loc.tsv
Imperial Favour: Ancestral Rite,天子宠信：祭祀仪式,皇帝寵信：祭祀儀式 ,ifo_text_TWEAK.loc.tsv
Imperial Favour: Banquet,天子宠信：皇家宴会,皇帝寵信：皇家宴會 ,ifo_text_TWEAK.loc.tsv
Imperial Sword Guards,禁军佩剑守卫,禁軍劍衛,hv_TEXT_unit_text_replacements.loc.tsv
Imperial ancestral rite ended,皇家祭祀仪式结束,皇家祭祀儀式結束,ifo_text_TWEAK.loc.tsv
Imperial banquet ended without incident,皇家宴会结束，并无意外发生,皇家宴會結束，並無意外發生 ,ifo_text_TWEAK.loc.tsv
Importunity,坚韧不屈,堅韌不屈,hv_TEXT_unit_abilities.loc.tsv
"In the face of adversity, those left standing will close ranks and bolster their resolve.",面对逆境，所剩兵士只能集结起来坚定决心。,面對逆境，所剩兵士只能集結起來坚定决心。,hv_TEXT_unit_abilities.loc.tsv
"In the midst of a bloodbath, it's nice to know that someone has your back.",在腥风血雨中你仍有所依靠。,在腥風血雨中你仍有所依靠。,hv_TEXT_unit_abilities.loc.tsv
"Indeed, the goods brought by the western merchants are diverse, with many rare and valuable items. Furthermore, the mercenaries escorting them look like natural warriors.",的确，西域商人带来的货物种类繁多，其中不乏珍惜名贵之物。而且，护送他们的佣兵看起来就像是天生的战士。,的確，西域商人帶來的貨物種類繁多，其中不乏珍惜名貴之物。而且，護送他們的傭兵看起來就像是天生的戰士。,hv_TEXT_events.loc.tsv
Infill Development ,填地开发,填地開發,hv_TEXT_building.loc.tsv
Inflicts less damage and has reduced accuracy but suppresses targets.,造成伤害较低，准确率也降低，但可压制目标。,造成傷害較低，準確率也降低，但可壓制目標。,hv_TEXT_etc.loc.tsv
"Instead of sending Xun Yu the ""gift"", you chose to admit your wrong. With him, you swore to take the right path.",,,[dummy]__MTU_dummy.loc.tsv
Investigate,调查,調查,hv_TEXT_events.loc.tsv
Iron Walls,铁壁兵,鐵壁兵,hv_TEXT_unit_text_replacements.loc.tsv
Ironfist Cavalry can be recruited when occupied,占据时可获得铁拳骑兵,占據時可獲得鐵拳騎兵,hv_TEXT_region_army.loc.tsv
It causes fear.,引发恐慌。,引發恐慌。,hv_TEXT_unit_abilities_hit_effects.loc.tsv
It must be bullshit.,无稽之谈。,無稽之談。,hv_TEXT_events.loc.tsv
It seems you've offended the imperial court...,看来你得罪了朝廷……,看來你得罪了朝廷…… ,ifo_text_TWEAK.loc.tsv
It will be different this time. Obviously...,苍天已死，黄天再立！,蒼天已死，黃天再立！,hv_TEXT_effects_pooled_resource.loc.tsv
It's best to ignore these annoying preachers.,不应理睬这些烦人的布道僧侣。,不應理睬這些煩人的佈道僧侶。,hv_TEXT_events.loc.tsv
It's getting harder to find anyone who isn't a Black Mountain bandit.,四海之内，莫非黑山。,四海之内，莫非黑山。,hv_TEXT_effects_pooled_resource.loc.tsv
"It's hard to believe, but it might be worth investigating personally.",难以置信，但不妨亲自调查一番。,難以置信，但不妨親自調查一番。,hv_TEXT_events.loc.tsv
Ji Guards of the Eight Talents,八才戟卫,八才戟衛,hv_TEXT_unit_text_replacements.loc.tsv
Ji Ling,纪灵,纪灵,hv_TEXT_cb_loadout.loc.tsv
Jian Yong,,,[01]__MTU_generals__Metal_sentienl.loc.tsv
Jiang Qin,蒋钦,蔣欽,hv_TEXT_cb_loadout.loc.tsv
Jiang Qin's Armour,蒋钦的护甲,蔣欽的護甲,hv_TEXT_ceo_career.loc.tsv
Jingchu Troop Tally,荆楚虎符,荊楚虎符,hv_TEXT_effects_ceo.loc.tsv
Jingchu troop tally can be earned when occupied,占据时可获得荆楚虎符,占據時可獲得荊楚虎符,hv_TEXT_region_army.loc.tsv
Joint Shot,,,hv_TEXT_unit_abilities.loc.tsv
Khanda,坎达直剑,坎達直劍,hv_TEXT_ceo_weapon.loc.tsv
Kill her,杀了她,將她處死,hv_TEXT_events.loc.tsv
King Duosi [[img:unit_elephant]][[/img]],朵思大王[[img:unit_elephant]][[/img]],朵思大王 [[img:unit_elephant]][[/img]],hv_TEXT_cb_loadout.loc.tsv
King Meng Huo [[img:unit_elephant]][[/img]],孟获大王[[img:unit_elephant]][[/img]],孟獲大王 [[img:unit_elephant]][[/img]],hv_TEXT_cb_loadout.loc.tsv
King Mulu [[img:unit_elephant]][[/img]],木鹿大王[[img:unit_elephant]][[/img]],木鹿大王 [[img:unit_elephant]][[/img]],hv_TEXT_cb_loadout.loc.tsv
King Shamoke [[img:unit_elephant]][[/img]],沙摩柯大王[[img:unit_elephant]][[/img]],沙摩柯大王 [[img:unit_elephant]][[/img]],hv_TEXT_cb_loadout.loc.tsv
King Wutugu [[img:unit_elephant]][[/img]],兀突骨大王[[img:unit_elephant]][[/img]],兀突骨大王 [[img:unit_elephant]][[/img]],hv_TEXT_cb_loadout.loc.tsv
Lady,,,[dummy]__MTU_dummy.loc.tsv
Lady Bian,,,[04]--------------------MTU_events--------------------.loc.tsv
Lady Dong,,,[01]__MTU_generals__Earth_commander.loc.tsv
Lady Du,,,[01]__MTU_generals__Earth_commander.loc.tsv
Lady Feng,,,[01]__MTU_generals__Earth_commander.loc.tsv
Lady Liu always cares about her family.,刘夫人总是关心她的家人。,劉夫人總是關心他的家人。,z_dummy_hv_TEXT_non_deployable.loc.tsv
Lady Liu's Robes,刘夫人的长袍,劉夫人的長袍 ,z_dummy_hv_TEXT_non_deployable.loc.tsv
Lady Trieu,赵妪,趙嫗,hv_TEXT_cb_loadout.loc.tsv
Lady Trieu [[img:unit_elephant]][[/img]],赵妪[[img:unit_elephant]][[/img]],趙嫗[[img:unit_elephant]][[/img]],hv_TEXT_cb_loadout.loc.tsv
Lady Wu,,,[01]__MTU_generals__Earth_commander.loc.tsv
Lady Zhurong [[img:unit_elephant]][[/img]],祝融夫人[[img:unit_elephant]][[/img]],祝融夫人 [[img:unit_elephant]][[/img]],hv_TEXT_cb_loadout.loc.tsv
Landlord,地主,地主,z_dummy_hv_TEXT_non_deployable.loc.tsv
Large Warehouse,大型仓库,大型倉庫,hv_TEXT_building.loc.tsv
"Lead the Fight, Encourage, Support",身先士卒，鼓舞军心,身先士卒，鼓舞軍心,hv_TEXT_unit_ui_group_VM.loc.tsv
Leads and commands the retinues.,领导及指挥随从。,領導及指揮隨從。,hv_TEXT_unit_desc.loc.tsv
Legacy of Lu Bu,吕布余部,呂布餘部,hv_TEXT_etc.loc.tsv
Legacy of Tao Qian,陶谦余部,陶謙餘部,hv_TEXT_etc.loc.tsv
Legacy of Yuan Shu,袁术余部,袁術餘部,hv_TEXT_etc.loc.tsv
Li Jue and Guo Si came to the capital with a huge army. They want avenge for their fallen master. The only thing they want is the neck of the killer.,,,[dummy]__MTU_dummy.loc.tsv
Local Celebrity,名士,名士,z_dummy_hv_TEXT_non_deployable.loc.tsv
Local Noble's Estate,地方豪强庄园,地方豪强莊園,hv_TEXT_building.loc.tsv
"Long Range, Anti-Cavalry",远距，反骑兵,遠距，反騎兵,hv_TEXT_unit_ui_group_t1.loc.tsv
"Long Range, High Armour-Piercing Damage, Slow Reload",远距，穿甲伤害高，射击速率慢,遠距，穿甲傷害高，射擊速率慢,hv_TEXT_unit_ui_group_t1_VM.loc.tsv
"Long Range, Low Armour-Piercing Damage, Fast Reload",远距，穿甲伤害低，射击速率快,遠距，穿甲傷害低，射擊速率快,hv_TEXT_unit_ui_group_VM.loc.tsv
"Long Range, Siege",远距，攻城,遠距，攻城,hv_TEXT_unit_ui_group_t1.loc.tsv
Looking for the monster...,寻觅怪兽……,尋覓怪獸……,hv_TEXT_events.loc.tsv
Loose and Charge,疏阵冲锋,疏陣衝鋒,hv_TEXT_unit_abilities.loc.tsv
Loose and Charge (Cavalry),骑兵疏阵冲锋,騎兵疏陣衝鋒,hv_TEXT_unit_abilities.loc.tsv
Lord of the Battlefield,战场之王,戰場之王,hv_TEXT_etc.loc.tsv
"Low Hit Rate, High Armour-Piercing Damage",命中率低，穿甲伤害高,命中率低，穿甲傷害高,hv_TEXT_unit_ui_group_t1.loc.tsv
"Low Hit Rate, High Armour-Piercing Damage, Break Enemy's Shield",命中率低，穿甲伤害高，破盾,命中率低，穿甲傷害高，破盾,hv_TEXT_unit_ui_group_t1.loc.tsv
"Low Hit Rate, Low Armour-Piercing Damage",命中率低，穿甲伤害低,命中率低，穿甲傷害低,hv_TEXT_unit_ui_group_t1.loc.tsv
Lu Bu,吕布,呂布,hv_TEXT_cb_loadout.loc.tsv
Lu Bu's Retinues,吕布的随从,呂布的隨從,hv_TEXT_effects_events.loc.tsv
Lu Bu's army follows your faction.,吕布之兵将追随于您。,呂布之兵將追隨於您。,hv_TEXT_events.loc.tsv
Lu Bu's retinues want to join us quickly. We may  focus on military redeployment.,,,hv_TEXT_effects_events.loc.tsv
Lu Zheng,陆政,陸政,hv_TEXT_cb_loadout.loc.tsv
Lucky Shot,幸运一击,幸運一擊,hv_TEXT_unit_abilities.loc.tsv
Luo Jun,骆俊,駱俊,hv_TEXT_cb_loadout.loc.tsv
Lü Ji,,,[01]__MTU_generals__Wood_champion.loc.tsv
Ma Yunlu,,,[01]__MTU_generals__Metal_sentienl.loc.tsv
Man For All Seasons,,,hv_TEXT_ceo_career.loc.tsv
Manage local products more thoroughly and convert wasted materials into stockpiles.,完善管理本地货物，回收废弃物品。,完善管理本地貨物，回收廢棄物品。,hv_TEXT_building.loc.tsv
Marquis or Chancellor of State,派系级别达到侯,勢力級別達到侯,hv_TEXT_etc.loc.tsv
Martial Prowess,精通武艺,精通武藝,hv_TEXT_unit_abilities.loc.tsv
"Medium Range, Low Armour-Piercing Damage, Fast Reload",中距，穿甲伤害低，射击速率快,中距，穿甲傷害低，射擊速率快,hv_TEXT_unit_ui_group_t1.loc.tsv
Melee Attack (Auto),近战攻击（自动）,近戰攻擊（自動）,hv_TEXT_skills_skill_ability_name_desc.loc.tsv
Men of Thunder,雷霆军,雷霆軍,hv_TEXT_unit_text_replacements.loc.tsv
"Mighty, gnarled monoliths, the imposing peaks of China's south stand like sentinels against the unrelenting waters beyond. Amongst these hills and peaks, the Yue tribes eke out their continued existence; brought low from the once-proud past, they stand now against the threat of Han invasion from the north. Although they wield sword and shield, they are nothing like the professional warriors coming to face them. \\n\\n Yet, united behind one who purports to fight for their ideals, the Yue are able to summon themselves into something resembling their own strength – their legacy demands it!",,,hv_TEXT_unit_long_desc.loc.tsv
Military Talent,军事才能,軍事才能,hv_TEXT_events.loc.tsv
Moment of Courage,一时之勇,一時之勇,hv_TEXT_unit_abilities.loc.tsv
Morale Shock Projectile,箭矢打击士气,箭矢打擊士氣,hv_TEXT_unit_ui_group_t1.loc.tsv
"Move swift as the Wind and closely-formed as the Wood. Attack like the Fire and be still as the Mountain. \\n\\n These elite soldiers hail from Danyang province and are rapidly gaining renown with commanders in the crumbling Han empire. Armed with a glaive and heavy armor, they have gathered a reputation assaulting enemy strongpoints succesfully and routing their defenders. \\n\\n Already, enemies have learned to fear their expertise, as well as the gunpowder bombs they carry with them. When the Blue Turbans have been spotted on the field, the foe knows their days are numbered.",,,hv_TEXT_unit_long_desc.loc.tsv
Mud,,,!hv_TEXT_system.loc.tsv
Mud makes the movement and combat of all units inefficient.,,,!hv_TEXT_system.loc.tsv
Nanman Infill Development ,南蛮填地开发,南蠻填地開發,hv_TEXT_building.loc.tsv
Nanman-Han Trading Post,南蛮交易所,南蠻交易所,hv_TEXT_building.loc.tsv
No horseman shall pass these spearmen from the famed Xiliang army.,没有任何骑兵能冲破赫赫有名的西凉军枪阵。 ,沒有任何騎兵能衝破赫赫有名的西涼軍槍陣。,hv_TEXT_unit_desc.loc.tsv
No one wants troublemakers.,莫要引禍上身。,莫要引祸上身。,hv_TEXT_events.loc.tsv
"No one welcomes them, and everyone cast doubt to your decision.",,,hv_TEXT_effects_events.loc.tsv
Nomad Gang,游牧马贼,游牧馬賊,hv_TEXT_unit_text_replacements.loc.tsv
Not all of us get a second chance.,不是所有人都有机会重来。,不是所有人都有機會重來。,hv_TEXT_skills_skill_ability_name_desc.loc.tsv
Oath Fellows,结义弟兄,結義弟兄,hv_TEXT_unit_text_replacements.loc.tsv
Offensive Stance,进攻姿态,進攻姿態,hv_TEXT_unit_abilities.loc.tsv
"Once a governor faction leader has earned enough prestige to be named king, the three strongest warlords will proclaim themselves emperor, which will make their capitals seats of great power.\\n\\n[[b]]Victory Condition[[/b]]\\nUnite China by bringing all emperor seats under your control.\\n\\n[[b]]Victory Types[[/b]]\\nStandard: become emperor and eliminate all other emperors by taking their seats of power.\\n\\nCo-operative: combine your strength by signing a shared mandate diplomatic deal.\\n\\nHead-to-Head: destroy the other player, or compete with one another to be the first to meet the victory conditions.",一旦某个朝廷派系有了足够的声望成王，那么最强的三家诸侯就会自行称帝，他们的都城就会成为皇位的所在。\\n\\n[[b]]胜利条件[[/b]]\\n控制所有的皇位，从而统一中国。\\n\\n[[b]]胜利类型[[/b]]\\n标准：成为皇帝并通过夺取皇位消灭其他的所有皇帝\\n\\n合作：签署共承天命协定\\n\\n对抗：消灭其他的玩家，或第一个达到胜利条件,一旦有一支太守勢力的領袖獲得足以稱王的威望，群雄中最強的三家便會稱帝，使其都城成為握有龐大權力的皇城。\\n\\n[[b]]勝利條件[[/b]]\\n奪佔所有皇城，即能一統天下。\\n\\n[[b]]勝利類型：[[/b]]\\n標準：稱帝，並透過奪取其他稱帝者的皇城，消滅其他所有稱帝者。\\n\\n合作：可以簽訂同享天命的外交條約來集結力量。\\n\\n對決戰役：消滅對方玩家，或是與其他玩家角逐，成為第一位達成勝利條件的玩家。,!hv_TEXT_system.loc.tsv
"Once a governor faction leader has earned enough prestige to be named king, the three strongest warlords will proclaim themselves emperor, which will make their capitals seats of great power.\\n\\n[[b]]Victory condition[[/b]]: Unite China by bringing all emperor seats under your control and by owning {{tr:victory_condition_regions_count}} {{tr:map_regions}}.",一旦某个朝廷派系有了足够的声望成王，那么最强的三家诸侯就会自行称帝，他们的都城就会成为皇位的所在。\\n\\n[[b]]胜利条件[[/b]]：控制所有的皇位并拥有{{tr:victory_condition_regions_count}}个{{tr:map_regions}}，从而统一天下。,一旦有一支太守勢力的領袖獲得足以稱王的威望，群雄中最強的三家便會稱帝，使其都城成為握有龐大權力的皇城。太守勢力無法自行稱帝，但可以透過佔領這些皇城來證明自己的影響力，進而登基為帝。\\n\\n[[b]]勝利條件[[/b]]：奪佔所有皇城並擁有{{tr:victory_condition_regions_count}}個{{tr:map_regions}}，即能一統天下。,!hv_TEXT_system.loc.tsv
"Once again the flames begin to burn. Now we are ready to destroy the Han dynasty. Our forces are strong, and the old comrades who had to live in hiding will also appear and respond to us. Let's make sure that Zhang Jue's unfulfilled dream come true.",,,hv_TEXT_events.loc.tsv
"Once equipped, this follower can't be unequipped until it is destroyed in 10 turns!",装备此随从后，须等到10回合后才能解除。之后此随从即会消失。,裝備此隨從後，須等到10回合後才能解除。之後此隨從即會消失。,hv_TEXT_effects_ceo.loc.tsv
"Once equipped, this item can't be unequipped",此饰物一旦装备便无法解除,此飾物一旦裝備便無法解除,hv_TEXT_effects_ceo.loc.tsv
"Once equipped, this item can't be unequipped until it is destroyed in 20 turns!",装备此饰物后，须等到20回合后才能解除。之后此饰物即会消失。,裝備此飾物後，須等到20回合後才能解除。之後此飾物即會消失。,hv_TEXT_effects_ceo.loc.tsv
One Armed Bear,,,[01]__MTU_generals__Wood_champion.loc.tsv
Onslaught,猛攻,猛攻,hv_TEXT_unit_abilities.loc.tsv
Outlaws of Black Mountain,黑山匪徒,黑山匪徒,hv_TEXT_unit_text_replacements.loc.tsv
Palace Guards,宫廷侍卫,宮廷侍衛,hv_TEXT_unit_text_replacements.loc.tsv
Pang De,,,[01]__MTU_generals__Wood_champion.loc.tsv
Passive Ally Buff,我方被动增益,我方被動增益,hv_TEXT_unit_abilities.loc.tsv
Passive Buff Ally,我方被动增益,我方被動增益,hv_TEXT_skills_skill_ability_name_desc.loc.tsv
Passive Buff Self,自身被动增益,自身被動增益,hv_TEXT_unit_abilities.loc.tsv
Passive Debuff Enemy,敌方被动减益,敵方被動減益,hv_TEXT_skills_skill_ability_name_desc.loc.tsv
"Perhaps out of admiration or to curry favour, a faction has put in a good word for you with the emperor. Talk of your exploits is is all that is on everyone's lips at the palace of late. ",也许是出于钦佩，也许是向您示好，有一派系在皇帝面前为你多加褒词。最近在宫中人人都在谈论您的功绩。 ,也許是出於欽佩，也許是向您示好，有一勢力在皇帝面前爲你多加褒詞。最近在宮中人人都在談論您的功績。,ifo_text_TWEAK.loc.tsv
Perhaps you can bring them into your fold...,或许可以招揽……,或許可以招攬……,hv_TEXT_events.loc.tsv
Pike Wall - Ji Guards of the Eight Talents,八才戟卫戟墙,八才戟衛戟墻,hv_TEXT_unit_abilities.loc.tsv
Pike Wall - White Feathers,白毦兵戟墙,白毦兵戟墻,hv_TEXT_unit_abilities.loc.tsv
Political Maneuvering,政治斡旋,政治斡旋,ifo_text_TWEAK.loc.tsv
Porcupine Crossbowmen,豪彘弩兵,豪彘弩兵,hv_TEXT_unit_text_replacements.loc.tsv
Pounce,,,hv_TEXT_unit_abilities.loc.tsv
Powerful Charge,强力冲锋,强力衝鋒,hv_TEXT_unit_ui_group_t1_VM.loc.tsv
Powerful white tigers are with us. ,强大的白虎与我们同在。,强大的白虎與我們同在。,hv_TEXT_effects_events.loc.tsv
Protection of Black Mountain,黑山之佑,黑山之佑,hv_TEXT_unit_abilities.loc.tsv
Provides [[b]]Danyang Troop Captain[[/b]] recruitment charges,提供[[b]]丹阳部队校尉[[/b]]招募次数,提供[[b]]丹陽部隊校尉[[/b]]招募次數,hv_TEXT_effects_building.loc.tsv
Pulverize,粉碎一击,粉碎一擊,hv_TEXT_unit_abilities.loc.tsv
Purchase a horse,买马,買馬,hv_TEXT_events.loc.tsv
Purchase a western sword,买剑,買劍,hv_TEXT_events.loc.tsv
Qingzhou Troops,青州军,青州軍,hv_TEXT_events.loc.tsv
Qu Gong,瞿恭,瞿恭,hv_TEXT_cb_loadout.loc.tsv
Rage of Black Mountain,黑山之怒,黑山之怒,hv_TEXT_unit_abilities.loc.tsv
Raining arrows.,,,hv_TEXT_unit_abilities.loc.tsv
"Raining death from afar, the archers of Jingchu have learned well the advantage that the bow brings in hilly terrain.",荆楚弓手早已领悟到了弓箭在丘陵地带的优势。 ,荊楚弓手早已領悟到了弓箭在丘陵地帶的優勢。 ,hv_TEXT_unit_desc.loc.tsv
Raise your reputation! ,您需要提高您的声望！,您需要提高您的聲望！,hv_TEXT_events.loc.tsv
Rapid Fire,速射,速射,hv_TEXT_etc.loc.tsv
Ready to colour the world once again.,野火燎原，不可向迩。,野火燎原，不可向邇。,hv_TEXT_effects_pooled_resource.loc.tsv
Rebellion of Li Jue and Guo Si,,,[dummy]__MTU_dummy.loc.tsv
"Recruited by Liu Bei during his time as ""General of the Left"", these soldiers now are loyal to their general and will fight to see his vision fulfilled. The Han shall be restored, and they will unleash a barrage of arrows upon any rebel who would see the Han extinguished. And And if their foes would close the distance, they shall find that they are equally skilled in melee combat, unless they fight cavalry.  ",,,hv_TEXT_unit_long_desc.loc.tsv
Refuse their demands,,,[dummy]__MTU_dummy.loc.tsv
Ren Xia,任侠,任俠,hv_TEXT_unit_text_replacements.loc.tsv
Replaces unit: {{tr:hv_unit_destroyer_of_traitors}} ({{tr:hv_unit_elite_2h_spear_cavalry}}),替换部队：{{tr:hv_unit_destroyer_of_traitors}}（{{tr:hv_unit_elite_2h_spear_cavalry}}）,替換單位：{{tr:hv_unit_destroyer_of_traitors}}（{{tr:hv_unit_elite_2h_spear_cavalry}}）,hv_TEXT_skills_additional.loc.tsv
Resurrection,复苏,復甦,hv_TEXT_pooled_resource.loc.tsv
Resurrection: Ash,复苏：灰烬,復甦：灰燼,hv_TEXT_effects_pooled_resource.loc.tsv
Resurrection: Ember,复苏：余焰,復甦：余焰,hv_TEXT_effects_pooled_resource.loc.tsv
Resurrection: Great Fire,复苏：烈火,復甦：烈火,hv_TEXT_effects_pooled_resource.loc.tsv
Resurrection: Great Fire (Complelete),复苏：烈火（已完成）,復甦：烈火（已完成）,hv_TEXT_effects_pooled_resource.loc.tsv
Resurrection: Reignite,复苏：复燃,復甦：復燃,hv_TEXT_effects_pooled_resource.loc.tsv
Resurrection: Wild Fire,复苏：野火,復甦：野火,hv_TEXT_effects_pooled_resource.loc.tsv
Retreat Cover,掩护撤退,掩護撤退,hv_TEXT_unit_abilities.loc.tsv
"Ride, ride to ruin and the world's ending!",冲啊！冲啊！为了捍卫天下！勇往直前！,冲啊！ 冲啊！ 为了捍卫天下！勇往直前！,hv_TEXT_unit_abilities.loc.tsv
Rumors about a monster,怪兽传言,怪獸傳言,hv_TEXT_events.loc.tsv
Sacred Chants,神咏,神詠,hv_TEXT_unit_abilities.loc.tsv
Scholar Warriors,学霸勇士,學霸勇士,hv_TEXT_unit_text_replacements.loc.tsv
Scion,袁术之子,袁術之子,hv_TEXT_ceo_career.loc.tsv
Scribe,主簿,主簿,z_dummy_hv_TEXT_non_deployable.loc.tsv
Second Chance,余烬复燃,餘燼復燃,hv_TEXT_skills_skill_ability_name_desc.loc.tsv
Second Wind,重振旗鼓,重振旗鼓,hv_TEXT_unit_abilities.loc.tsv
"Selecting this will open the Imperial Intrigue panel, which governs all the mechanics which become active once Emperor Xian comes of age in 195 CE, introducing a struggle over the influence of the new imperial power.",选择此项将打开朝廷权谋面板，该面板统管着公元195年献帝加元服后开启的所有机制，代表着皇权所面临的政治角力。,選取之後將會打開朝廷權謀面板，統管獻帝於公元195年成年後開放使用的所有機制，代表著新任皇權所面臨的政治角力。,ifo_text_TWEAK.loc.tsv
Sell Horses,卖马,賣馬,hv_TEXT_pooled_resource.loc.tsv
"Send The ""Gift""",,,[dummy]__MTU_dummy.loc.tsv
Send Wang Yun to them,,,[dummy]__MTU_dummy.loc.tsv
Send civil officials,派文官前去,派文官前去,ifo_text_TWEAK.loc.tsv
Send military officers,派武官前去,派武官前去,ifo_text_TWEAK.loc.tsv
Set your heart ablaze!,将你的心点燃！,將你的心點燃！,hv_TEXT_skills_skill_ability_name_desc.loc.tsv
Shen Pei,审配,審配,hv_TEXT_cb_loadout.loc.tsv
Shield Wall (Mobile),,,hv_TEXT_unit_abilities.loc.tsv
Shoot and run.,,,hv_TEXT_unit_abilities.loc.tsv
Shoot some crossbow-bombs for reducing morale of hostile units.,射出一些弩弹，用于降低敌军士气。,射出一些弩彈，用於降低敵軍士氣。,hv_TEXT_skills_skill_ability_name_desc.loc.tsv
"Short Range, High Armour-Piercing Damage, Average Reload",近距，穿甲伤害高，射击速率一般,近距，穿甲傷害高，射擊速率一般,hv_TEXT_unit_ui_group_t1_VM.loc.tsv
"Short Range, Low Armour-Piercing Damage, Fast Reload",近距，穿甲伤害低，射击速率快,近距，穿甲傷害低，射擊速率快,hv_TEXT_unit_ui_group_t1_VM.loc.tsv
"Short Range, Low Armour-Piercing Damage, Supress, Slow Reload",近距，穿甲伤害低，压制，射击速率慢,近距，穿甲傷害低，壓制，射擊速率慢,hv_TEXT_unit_ui_group_t1_VM.loc.tsv
"Short Range, Powerful Flame Damage, Average Reload",近距，火焰伤害强，射击速率一般,近距，火焰傷害強，射擊速率一般,hv_TEXT_unit_ui_group_t1_VM.loc.tsv
Siege Attacker,,,hv_TEXT_unit_ui_bullet.loc.tsv
"Skirmish, Chase",散兵，追击,散兵，追擊,hv_TEXT_unit_ui_group_t1_VM.loc.tsv
Skirmishing Shot,,,hv_TEXT_unit_abilities.loc.tsv
"Slander! A rival warlord is spreading malicious rumours at the imperial court, causing Emperor Xian to doubt our loyalty to the Han.",诽谤！一个敌对的军阀在朝廷散布恶意的谣言，使献帝怀疑我们对大汉的忠诚。,誹謗！一個敵對的軍閥在朝廷散佈惡意的謠言，使獻帝懷疑我們對大漢的忠誠。,ifo_text_TWEAK.loc.tsv
Small but clear.,小火虽微，而不可轻。,小火雖微，而不可輕。,hv_TEXT_effects_pooled_resource.loc.tsv
Sniper Position,狙击位置,狙擊位置,hv_TEXT_unit_abilities.loc.tsv
Social Turmoil,社会动荡,社會動盪,hv_TEXT_events.loc.tsv
Sogdian Merchants,粟特商人,粟特商人,hv_TEXT_events.loc.tsv
Sogdian Officer,粟特士官,粟特士官,hv_TEXT_effects_ceo.loc.tsv
Sogdians from the west has been spotted entering our borders. We will be able to purchase fine goods or hire Sogd mercenaries soon.,自西域而来的粟特商人出现在我方境内。我们很快就能买到精美商品，或者雇佣粟特佣兵。,自西域而來的粟特商人出現在我方境内。我們很快就能買到精美商品，或者雇傭粟特傭兵。,hv_TEXT_events.loc.tsv
Sogidan Merchants Approach,粟特商人来访,粟特商人來訪,hv_TEXT_events.loc.tsv
Speed is the essence of war.,兵贵神速。,兵貴神速。,hv_TEXT_unit_abilities.loc.tsv
Spice Guard,香料护卫,香料護衛,hv_TEXT_unit_text_replacements.loc.tsv
"Stalwart as the hills they were raised in, these Chu spearmen are an asset to any warlord.",这些楚国的矛兵与山丘一样坚韧，对任何一个军阀来说都是一笔财富。 ,這些楚國的矛兵與山丘一樣堅韌，對任何一個軍閥來說都是一筆財富。 ,hv_TEXT_unit_desc.loc.tsv
Steppe horse archers are in high demand by many warlords. But sometimes they make a better profit by working for themselves.,很多军阀都想要有草原骑射手。但与其为人效命，有时候不如自己单干。,很多軍閥都想要有草原騎射手。但與其為人效命，有時候不如自己單幹。 ,hv_TEXT_unit_desc.loc.tsv
Stockpile Storage ,储备站,儲備站,hv_TEXT_building.loc.tsv
Stratocracy,军政,軍政,hv_TEXT_pooled_resource.loc.tsv
Stratocracy / Military Government,军政/军事政府,軍政 / 軍事政府,hv_TEXT_frontend_features.loc.tsv
