Skill,eng,zh-cn,zh-tw,Key,File
3k_main_ability_commanding_presence_25,Commanding Presence,凤髓,鳳髓,unit_abilities_onscreen_name_3k_main_ability_commanding_presence_25,[03]__MTU_skills__Passive_debuff.loc.tsv
3k_main_ability_commanding_presence_25,Be courteous!,不可无礼！,不可無禮！,unit_abilities_tooltip_text_3k_main_ability_commanding_presence_25,[03]__MTU_skills__Passive_debuff.loc.tsv
3k_main_ability_foul_wits,Foul Wits,远瞩,遠矚,unit_abilities_onscreen_name_3k_main_ability_foul_wits,[03]__MTU_skills__Passive_debuff.loc.tsv
3k_main_ability_foul_wits,Hua Xin knows and accepts that terrible acts must be committed to preserve his status within the hierarchy.,高瞻之论还需配上愿听忠言之明主。,高瞻之論還需配上願聽忠言之明主。,unit_abilities_tooltip_text_3k_main_ability_foul_wits,[03]__MTU_skills__Passive_debuff.loc.tsv
3k_main_skill_special_ability_earth_empress_dong,Is that all you have for me?,如此寥寥无几，也敢奉上？,如此寥寥無幾，也敢奉上？,character_skills_localised_description_3k_main_skill_special_ability_earth_empress_dong,[03]__MTU_skills___Court.loc.tsv
3k_main_skill_special_ability_earth_empress_dong,Empress Dong,无餍,無饜,character_skills_localised_name_3k_main_skill_special_ability_earth_empress_dong,[03]__MTU_skills___Court.loc.tsv
3k_main_skill_special_ability_earth_empress_wulie,Her dignity and wisdom are already renown near and far.,孙吴国太为人刚强正直，德才兼备。,孫吳國太爲人剛強正直，德才兼備。,character_skills_localised_description_3k_main_skill_special_ability_earth_empress_wulie,[03]__MTU_skills___Court.loc.tsv
3k_main_skill_special_ability_earth_empress_wulie,Empress Wulie,刚正,剛正,character_skills_localised_name_3k_main_skill_special_ability_earth_empress_wulie,[03]__MTU_skills___Court.loc.tsv
3k_main_skill_special_ability_earth_empress_wuxuan,There aren't many women who can handle the monarch of the century.,魏国之母，母仪天下。,魏國之母，母儀天下。,character_skills_localised_description_3k_main_skill_special_ability_earth_empress_wuxuan,[03]__MTU_skills___Court.loc.tsv
3k_main_skill_special_ability_earth_empress_wuxuan,Empress Wuxuan,母仪,母儀,character_skills_localised_name_3k_main_skill_special_ability_earth_empress_wuxuan,[03]__MTU_skills___Court.loc.tsv
3k_main_skill_special_ability_earth_greedy_tyrant,Collect more taxes!,贪如狼恶，好自积财。,貪如狼惡，好自積財。,character_skills_localised_description_3k_main_skill_special_ability_earth_greedy_tyrant,[03]__MTU_skills___Court.loc.tsv
3k_main_skill_special_ability_earth_greedy_tyrant,Greedy Tyrant,贪饕,貪饕,character_skills_localised_name_3k_main_skill_special_ability_earth_greedy_tyrant,[03]__MTU_skills___Court.loc.tsv
3k_main_skill_special_ability_earth_heavenly_color,"The beauty of bridge and bridge is widely known in Gangdong. \\n For them, there is even a line of soldiers who want to protect their country at the risk of their lives.",二乔的美貌名扬江东。为了她们，士卒们愿意出生入死，保家卫国。,二喬的美貌名揚江東。爲了她們，士卒們願意出生入死，保家衛國。,character_skills_localised_description_3k_main_skill_special_ability_earth_heavenly_color,[03]__MTU_skills___Court.loc.tsv
3k_main_skill_special_ability_earth_heavenly_color,Heavenly Color,国色,國色,character_skills_localised_name_3k_main_skill_special_ability_earth_heavenly_color,[03]__MTU_skills___Court.loc.tsv
3k_main_formation_wedge_wen_chu,Wedge of Jieqiao,楔形阵,楔形陣,unit_abilities_onscreen_name_3k_main_formation_wedge_wen_chu,[03]__MTU_skills___Effect.loc.tsv
3k_main_formation_wedge_wen_chu,"Recalling their intense training, these generals reform with startling quickness.",部队结成矛尖阵型，可以迅速杀透敌军战线,部隊結成矛尖陣型，可以迅速殺透敵軍戰線,unit_abilities_tooltip_text_3k_main_formation_wedge_wen_chu,[03]__MTU_skills___Effect.loc.tsv
3k_main_ability_critical_strike,Crippling Strike,摧心,摧心,unit_abilities_onscreen_name_3k_main_ability_critical_strike,[03]__MTU_skills___Projectile.loc.tsv
3k_main_ability_critical_strike,Even the strongest of warriors are temporarily immobilized when a pressure point is struck.,摧心剖肝，直中要害。,摧心剖肝，直中要害。,unit_abilities_tooltip_text_3k_main_ability_critical_strike,[03]__MTU_skills___Projectile.loc.tsv
3k_main_ability_marksman_of_taiyuan,Marksman of Taiyuan,神射,神射,unit_abilities_onscreen_name_3k_main_ability_marksman_of_taiyuan,[03]__MTU_skills___Projectile.loc.tsv
3k_main_ability_marksman_of_taiyuan,Lu Zheng never misses the prey.,陆政的猎物对她来说犹如瓮中捉鳖。,陸政的獵物對她來說猶如甕中捉鱉。,unit_abilities_tooltip_text_3k_main_ability_marksman_of_taiyuan,[03]__MTU_skills___Projectile.loc.tsv
3k_main_ability_poison,Poisoned Chalice,分坐,分坐,unit_abilities_onscreen_name_3k_main_ability_poison,[03]__MTU_skills___Projectile.loc.tsv
3k_main_ability_poison,"“Hurry, drink this panacea and all your troubles will slip away.”",我视你为友，你竟然因一片黄金而与我割席而坐。,我視你爲友，你竟然因一片黃金而與我割席而坐。,unit_abilities_tooltip_text_3k_main_ability_poison,[03]__MTU_skills___Projectile.loc.tsv
3k_main_ability_shower_of_arrows,Rain of Fire,飞蝗,飛蝗,unit_abilities_onscreen_name_3k_main_ability_shower_of_arrows,[03]__MTU_skills___Projectile.loc.tsv
3k_main_ability_shower_of_arrows,Hua Lanli’s pinpoint accuracy strikes fear in the enemy.,华氏射出的飞箭如漫天蝗虫一般袭向敌手，令人变貌失色。,華氏射出的飛箭如漫天蝗蟲一般襲向敵手，令人變貌失色。,unit_abilities_tooltip_text_3k_main_ability_shower_of_arrows,[03]__MTU_skills___Projectile.loc.tsv
3k_main_ability_suppressive_fire,Suppressive Fire,冷箭,冷箭,unit_abilities_onscreen_name_3k_main_ability_suppressive_fire,[03]__MTU_skills___Projectile.loc.tsv
3k_main_ability_suppressive_fire,Relentless fire from Hua Lanli pins the enemy back.,明枪好躲，暗箭难防。,明槍好躲，暗箭難防。,unit_abilities_tooltip_text_3k_main_ability_suppressive_fire,[03]__MTU_skills___Projectile.loc.tsv
3k_main_ability_tiger_suppression,Tiger Suppression,伏虎,伏虎,unit_abilities_onscreen_name_3k_main_ability_tiger_suppression,[03]__MTU_skills___Projectile.loc.tsv
3k_main_ability_tiger_suppression,Huang Zu is famed to have placed the tiger of Jiangdong in his coffin,黄祖最善于百步之外阴袭敌军。,黃祖最善於百步之外陰襲敵軍。,unit_abilities_tooltip_text_3k_main_ability_tiger_suppression,[03]__MTU_skills___Projectile.loc.tsv
3k_main_skill_special_ability_wood_tiger_suppression,Huang Zu is famed to have put the Tiger of Jiangdong in his coffin.,黄祖最善于百步之外阴袭敌军。,黃祖最善於百步之外陰襲敵軍。,character_skills_localised_description_3k_main_skill_special_ability_wood_tiger_suppression,[03]__MTU_skills___Projectile.loc.tsv
3k_elephant_ability_trample,Trample,践踏,踐踏,unit_abilities_onscreen_name_3k_elephant_ability_trample,[03]__MTU_skills___Splash_attack.loc.tsv
3k_elephant_ability_trample,"White Tempest violently tramples the ground, stunning all in close proximity.",战象的猛然一跺，足以碾碎脚下的一切。,戰象的猛然一跺，足以碾碎腳下的一切。,unit_abilities_tooltip_text_3k_elephant_ability_trample,[03]__MTU_skills___Splash_attack.loc.tsv
3k_main_ability_avenge,Avenge,逐北,逐北,unit_abilities_onscreen_name_3k_main_ability_avenge,[03]__MTU_skills___Splash_attack.loc.tsv
3k_main_ability_avenge,"Revenge is the act of passion, vengeance is an act of justice. For Zhang Bao, both are one and the same.",敌军势穷，怎可不乘胜追击？,敵軍勢窮，怎可不乘勝追擊？,unit_abilities_tooltip_text_3k_main_ability_avenge,[03]__MTU_skills___Splash_attack.loc.tsv
3k_main_ability_brawn_of_yangan,Brawn of Yangan,斗牛,鬥牛,unit_abilities_onscreen_name_3k_main_ability_brawn_of_yangan,[03]__MTU_skills___Splash_attack.loc.tsv
3k_main_ability_brawn_of_yangan,Rumors speak of a man in Yangan who can wrestle an ox,有传言说有一人可以徒手驯服一头暴怒的公牛。,有傳言說有一人可以徒手馴服一頭暴怒的公牛。,unit_abilities_tooltip_text_3k_main_ability_brawn_of_yangan,[03]__MTU_skills___Splash_attack.loc.tsv
3k_main_ability_camp_crushing,Exemplary Strike,捣穴,搗穴,unit_abilities_onscreen_name_3k_main_ability_camp_crushing,[03]__MTU_skills___Splash_attack.loc.tsv
3k_main_ability_camp_crushing,The crushing blow is delivered by Zhang Xun’s own hand.,犁庭扫穴，无坚不摧。,犁庭掃穴，無堅不摧。,unit_abilities_tooltip_text_3k_main_ability_camp_crushing,[03]__MTU_skills___Splash_attack.loc.tsv
3k_main_ability_champion_of_xiliang,Champion of Xiliang,断蛟,斷蛟,unit_abilities_onscreen_name_3k_main_ability_champion_of_xiliang,[03]__MTU_skills___Splash_attack.loc.tsv
3k_main_ability_champion_of_xiliang,"Fierce as a lion and as unrelenting as the wind, Pang De may be the finest warrior Xiliang ever produced.",庞德既能与关公死战，那也必能匹敌马超。,龐德既能與關公死戰，那也必能匹敵馬超。,unit_abilities_tooltip_text_3k_main_ability_champion_of_xiliang,[03]__MTU_skills___Splash_attack.loc.tsv
3k_main_ability_concentrated_strikes,Fanged Flurry,猛蛇,猛蛇,unit_abilities_onscreen_name_3k_main_ability_concentrated_strikes,[03]__MTU_skills___Splash_attack.loc.tsv
3k_main_ability_concentrated_strikes,"Like a coiled viper, Zhang Xueer strikes so rapidly that it’s virtually unavoidable.",毒蛇出击，一击致命。,毒蛇出擊，一擊致命。,unit_abilities_tooltip_text_3k_main_ability_concentrated_strikes,[03]__MTU_skills___Splash_attack.loc.tsv
3k_main_ability_demigod_of_war,Successor of the War God,箕裘,箕裘,unit_abilities_onscreen_name_3k_main_ability_demigod_of_war,[03]__MTU_skills___Splash_attack.loc.tsv
3k_main_ability_demigod_of_war,The martial prowess of Guan Yu has been passed on to his child.,一脉相承，不愧为武圣之女！,一脈相承，不愧爲武聖之女！,unit_abilities_tooltip_text_3k_main_ability_demigod_of_war,[03]__MTU_skills___Splash_attack.loc.tsv
3k_main_ability_double_sword_dance,Double Sword Dance,剑舞,劍舞,unit_abilities_onscreen_name_3k_main_ability_double_sword_dance,[03]__MTU_skills___Splash_attack.loc.tsv
3k_main_ability_double_sword_dance,Ma Yunlu’s double sword dance is beautiful as it is lethal.,舞剑操刀于敌众之间。,舞劍操刀於敵衆之間。,unit_abilities_tooltip_text_3k_main_ability_double_sword_dance,[03]__MTU_skills___Splash_attack.loc.tsv
3k_main_ability_goddess_of_battle,Tempest’s Roar,恶浪,惡浪,unit_abilities_onscreen_name_3k_main_ability_goddess_of_battle,[03]__MTU_skills___Splash_attack.loc.tsv
3k_main_ability_goddess_of_battle,Lady Trieu leaves a path of destruction in her wake.,赵妪所经之处无所不催。,趙嫗所經之處無所不催。,unit_abilities_tooltip_text_3k_main_ability_goddess_of_battle,[03]__MTU_skills___Splash_attack.loc.tsv
3k_main_ability_persistent_attack,Persistent Attack,不衰,不衰,unit_abilities_onscreen_name_3k_main_ability_persistent_attack,[03]__MTU_skills___Splash_attack.loc.tsv
3k_main_ability_persistent_attack,Yijian Liting is both relentless and persistent in her approach.,持久且不衰，伊健丽婷永不放弃。,持久且不衰，伊健麗婷永不放棄。,unit_abilities_tooltip_text_3k_main_ability_persistent_attack,[03]__MTU_skills___Splash_attack.loc.tsv
3k_main_ability_rage_of_lu_ji,Rage of Lü Ji,无双,無雙,unit_abilities_onscreen_name_3k_main_ability_rage_of_lu_ji,[03]__MTU_skills___Splash_attack.loc.tsv
3k_main_ability_rage_of_lu_ji,"Like father, like daughter - Lü Ji’s uncontrollable temper decimates the enemy.",愈战愈勇，佛挡杀佛。,愈戰愈勇，佛擋殺佛。,unit_abilities_tooltip_text_3k_main_ability_rage_of_lu_ji,[03]__MTU_skills___Splash_attack.loc.tsv
3k_main_ability_strike_of_justice,Fist of the Righteous,正气,正氣,unit_abilities_onscreen_name_3k_main_ability_strike_of_justice,[03]__MTU_skills___Splash_attack.loc.tsv
3k_main_ability_strike_of_justice,"In the name of honor and the people, the virtuous Luo Jun strikes hard and true.",正气凛然，骆俊的重击充满着正义与民意。,正氣凜然，駱俊的重擊充滿着正義與民意。,unit_abilities_tooltip_text_3k_main_ability_strike_of_justice,[03]__MTU_skills___Splash_attack.loc.tsv
3k_main_ability_thunderous_blow,Thunderous Blow,霆击,霆擊,unit_abilities_onscreen_name_3k_main_ability_thunderous_blow,[03]__MTU_skills___Splash_attack.loc.tsv
3k_main_ability_thunderous_blow,"A blow with all of Chunyu’s strength, mighty as a thunderstrike.",竭尽全力，致命一击。,竭盡全力，致命一擊。,unit_abilities_tooltip_text_3k_main_ability_thunderous_blow,[03]__MTU_skills___Splash_attack.loc.tsv
hv_skill_add_individuality_cao_ang_4A,Someone who stands out among the people.,超凡脱俗,超凡脫俗,character_skills_localised_description_hv_skill_add_individuality_cao_ang_4A,hv_TEXT_skills_additional.loc.tsv
hv_skill_add_individuality_cao_ang_4A,First Characteristic,个性一,特性一,character_skills_localised_name_hv_skill_add_individuality_cao_ang_4A,hv_TEXT_skills_additional.loc.tsv
hv_skill_add_mastership_cao_ang_4C,Every person has their own path.,各行其道,各行其道,character_skills_localised_description_hv_skill_add_mastership_cao_ang_4C,hv_TEXT_skills_additional.loc.tsv
hv_skill_add_mastership_cao_ang_4C,Third Characteristic,个性三,特性三,character_skills_localised_name_hv_skill_add_mastership_cao_ang_4C,hv_TEXT_skills_additional.loc.tsv
hv_skill_add_talent_cao_ang_4B,A remarkable talent.,才华横溢,才華橫溢,character_skills_localised_description_hv_skill_add_talent_cao_ang_4B,hv_TEXT_skills_additional.loc.tsv
hv_skill_add_talent_cao_ang_4B,Second Characteristic,个性二,特性二,character_skills_localised_name_hv_skill_add_talent_cao_ang_4B,hv_TEXT_skills_additional.loc.tsv
3k_dlc07_skill_emperor_earth_imperious,You are royal. Act like it.,九五之尊，当彰显帝王气度。,您是皇帝，就該有皇帝的樣子。,character_skills_localised_description_3k_dlc07_skill_emperor_earth_imperious,hv_TEXT_skills_basic.loc.tsv
hv_skill_emperor_abundance,Give a man a fish and you feed him for a day. Teach him to fish and you feed him for a lifetime.,授人以鱼，不如授人以渔,授人以魚不如教之以漁。,character_skills_localised_description_hv_skill_emperor_abundance,hv_TEXT_skills_basic.loc.tsv
hv_skill_emperor_abundance,Abundance,富足,充盈豐沛,character_skills_localised_name_hv_skill_emperor_abundance,hv_TEXT_skills_basic.loc.tsv
hv_skill_emperor_clarity,Coherence in thought and speech brings clear advantage.,巧言善辩会带来显著的优势,心口一致，無往不利。,character_skills_localised_description_hv_skill_emperor_clarity,hv_TEXT_skills_basic.loc.tsv
hv_skill_emperor_clarity,Clarity,聪颖,清楚透徹,character_skills_localised_name_hv_skill_emperor_clarity,hv_TEXT_skills_basic.loc.tsv
hv_skill_emperor_dilligence,The industrious need no orders to galvanise them into action.,勤奋的人，无需任何指引便可行动起来,勤勉之人不需命令也會行動。,character_skills_localised_description_hv_skill_emperor_dilligence,hv_TEXT_skills_basic.loc.tsv
hv_skill_emperor_dilligence,Diligence,勤勉,勤奮努力,character_skills_localised_name_hv_skill_emperor_dilligence,hv_TEXT_skills_basic.loc.tsv
hv_skill_emperor_flexibility,"Like the weather, one's fortune may change by the evening.",天有不测风云，人有旦夕祸福,天有不測風雲，人有旦夕禍福。,character_skills_localised_description_hv_skill_emperor_flexibility,hv_TEXT_skills_basic.loc.tsv
hv_skill_emperor_flexibility,Flexibility,屈伸,無往不適,character_skills_localised_name_hv_skill_emperor_flexibility,hv_TEXT_skills_basic.loc.tsv
hv_skill_emperor_nobility,"Virtue cannot be acquired, only nurtured.",美德并非天成，只可造就,修德非一蹴可幾，須時刻培養。,character_skills_localised_description_hv_skill_emperor_nobility,hv_TEXT_skills_basic.loc.tsv
hv_skill_emperor_nobility,Nobility,龙髓,龍髓,character_skills_localised_name_hv_skill_emperor_nobility,hv_TEXT_skills_basic.loc.tsv
hv_skill_emperor_reach,"With no knowledge of what cannot be done, you will accomplish great things.",心怀克服万难之决意，方可成就大事,不知其不可為而為者，當能成就大事。,character_skills_localised_description_hv_skill_emperor_reach,hv_TEXT_skills_basic.loc.tsv
hv_skill_emperor_reach,Reach,志远,有志竟成,character_skills_localised_name_hv_skill_emperor_reach,hv_TEXT_skills_basic.loc.tsv
hv_skill_emperor_stability,The pillar is strongest at its base.,柱石不倒，在其根基厚实,柱之堅韌，以根基為最。,character_skills_localised_description_hv_skill_emperor_stability,hv_TEXT_skills_basic.loc.tsv
hv_skill_emperor_stability,Stability,坚定,穩重如山,character_skills_localised_name_hv_skill_emperor_stability,hv_TEXT_skills_basic.loc.tsv
hv_skill_emperor_understanding,"What you do not wish upon yourself, extend not to others.",己所不欲，勿施于人,己所不欲，勿施於人。,character_skills_localised_description_hv_skill_emperor_understanding,hv_TEXT_skills_basic.loc.tsv
hv_skill_emperor_understanding,Understanding,理解,將心比心,character_skills_localised_name_hv_skill_emperor_understanding,hv_TEXT_skills_basic.loc.tsv
hv_skill_wood_mobilization,Motivating men to fight is the essense of leadership.,激发部卒斗志乃是为将的精髓。,激發部卒鬥志乃是爲將的精髓。,character_skills_localised_description_hv_skill_wood_mobilization,hv_TEXT_skills_basic.loc.tsv
hv_skill_wood_mobilization,Mobilisation,动员,動員,character_skills_localised_name_hv_skill_wood_mobilization,hv_TEXT_skills_basic.loc.tsv
hv_historical_ability_earth_01,A Storm of Swords,剑刃风暴,劍刃風暴,unit_abilities_onscreen_name_hv_historical_ability_earth_01,hv_TEXT_skills_skill_ability__historical.loc.tsv
hv_historical_ability_earth_01,A clash is inevitable.,冲突无法避免。,衝突無法避免。,unit_abilities_tooltip_text_hv_historical_ability_earth_01,hv_TEXT_skills_skill_ability__historical.loc.tsv
hv_historical_ability_earth_02,Stone Bulwark,磐石,堅若磐石,unit_abilities_onscreen_name_hv_historical_ability_earth_02,hv_TEXT_skills_skill_ability__historical.loc.tsv
hv_historical_ability_earth_02,"With skin of earth, arrows rebound, harmless.",凭地利，如披坚甲，箭若无物。,皮若堅石，箭矢觸及皆反彈無傷。,unit_abilities_tooltip_text_hv_historical_ability_earth_02,hv_TEXT_skills_skill_ability__historical.loc.tsv
hv_historical_ability_earth_03,Assemble,齐心,集結,unit_abilities_onscreen_name_hv_historical_ability_earth_03,hv_TEXT_skills_skill_ability__historical.loc.tsv
hv_historical_ability_earth_03,Soldiers gather under the banner of this hero.,军士聚于此英雄之旗下。,军士聚于此英雄之旗下。,unit_abilities_tooltip_text_hv_historical_ability_earth_03,hv_TEXT_skills_skill_ability__historical.loc.tsv
hv_historical_ability_fire_01,Into the Breach,突围,乘隙而入,unit_abilities_onscreen_name_hv_historical_ability_fire_01,hv_TEXT_skills_skill_ability__historical.loc.tsv
hv_historical_ability_fire_01,"A charge, fuelled by stern hearts and sterner blades, will rip enemy lines apart.",坚定之心，锋利宝刃，足以撕破敌阵,以堅定的心智和強硬的刀刃發起衝鋒，便能一舉撕裂敵陣。,unit_abilities_tooltip_text_hv_historical_ability_fire_01,hv_TEXT_skills_skill_ability__historical.loc.tsv
hv_historical_ability_fire_02,Flames of the Phoenix,炎凤,鳳凰之火,unit_abilities_onscreen_name_hv_historical_ability_fire_02,hv_TEXT_skills_skill_ability__historical.loc.tsv
hv_historical_ability_fire_02,A devastating swing with the power of the risen inferno!,凤怒炎涛，摧枯拉朽！,挾帶竄升烈火之力的毀滅一擊！,unit_abilities_tooltip_text_hv_historical_ability_fire_02,hv_TEXT_skills_skill_ability__historical.loc.tsv
hv_historical_ability_fire_03,Tracker,追踪,追蹤,unit_abilities_onscreen_name_hv_historical_ability_fire_03,hv_TEXT_skills_skill_ability__historical.loc.tsv
hv_historical_ability_fire_03,Few can escape this warrior's pursuit.,很少有人能逃过这位勇士的追杀。,很少有人能逃過這位勇士的追殺。,unit_abilities_tooltip_text_hv_historical_ability_fire_03,hv_TEXT_skills_skill_ability__historical.loc.tsv
hv_historical_ability_healer_01,Fleet-footed,疾行,腳步迅捷,unit_abilities_onscreen_name_hv_historical_ability_healer_01,hv_TEXT_skills_skill_ability__historical.loc.tsv
hv_historical_ability_healer_01,This hero believes you can only kill that which you can catch.,此人行动迅如狡兔，万军擒拿亦若无物。,此人相信，要將敵人除之而後快，就必須先追得上敵人。,unit_abilities_tooltip_text_hv_historical_ability_healer_01,hv_TEXT_skills_skill_ability__historical.loc.tsv
hv_historical_ability_healer_02,"A charge, fuelled by stern hearts and sterner blades, that will rip enemy lines apart.",坚定之心，锋利宝刃，足以撕破敌阵,以堅定的心智和強硬的刀刃發起衝鋒，便能一舉撕裂敵陣。,unit_abilities_tooltip_text_hv_historical_ability_healer_02,hv_TEXT_skills_skill_ability__historical.loc.tsv
hv_historical_ability_healer_03,One with the People,人遁,與人合一,unit_abilities_onscreen_name_hv_historical_ability_healer_03,hv_TEXT_skills_skill_ability__historical.loc.tsv
hv_historical_ability_healer_03,Knowledge that your comrades will never abandon you brings tremendous comfort.,兄弟不弃，可谓安心,知道同胞絕不會捨自己而去，能讓人大感安心。,unit_abilities_tooltip_text_hv_historical_ability_healer_03,hv_TEXT_skills_skill_ability__historical.loc.tsv
hv_historical_ability_metal_01,Commanding Shout,训令,號令吶喊,unit_abilities_onscreen_name_hv_historical_ability_metal_01,hv_TEXT_skills_skill_ability__historical.loc.tsv
hv_historical_ability_metal_01,A war cry from one warrior to another.,同袍兄弟，狂呼迎战,從一名戰士傳達到另一名戰士的戰鬥口號。,unit_abilities_tooltip_text_hv_historical_ability_metal_01,hv_TEXT_skills_skill_ability__historical.loc.tsv
hv_historical_ability_metal_03,Nature's Ally,天侣,自然之友,unit_abilities_onscreen_name_hv_historical_ability_metal_03,hv_TEXT_skills_skill_ability__historical.loc.tsv
hv_historical_ability_metal_03,"The forest provides a path, and surer footing, for the respectful.",敬爱山林，林即如家，山是前路。,森林為懂得尊重的人提供了通行路徑和更穩固的立足之地。,unit_abilities_tooltip_text_hv_historical_ability_metal_03,hv_TEXT_skills_skill_ability__historical.loc.tsv
hv_historical_ability_scholar_01,One with Heaven,天遁,與天合一,unit_abilities_onscreen_name_hv_historical_ability_scholar_01,hv_TEXT_skills_skill_ability__historical.loc.tsv
hv_historical_ability_scholar_01,Look up and you will see the sky; look inward and you will see heaven.,上观则为天，深察则为妙,往頭上看，看到的是天空，往心裡看，看到的便是黃天。,unit_abilities_tooltip_text_hv_historical_ability_scholar_01,hv_TEXT_skills_skill_ability__historical.loc.tsv
hv_historical_ability_scholar_03,Targeted Strikes,扬刃,精準打擊,unit_abilities_onscreen_name_hv_historical_ability_scholar_03,hv_TEXT_skills_skill_ability__historical.loc.tsv
hv_historical_ability_scholar_03,"A single shot, timed and aimed to perfection, outweighs a thousand wasted volleys.",精妙一击，宁缺毋滥,一千發虛擲的矢石，比不上一記時機拿捏得恰到好處的精準射擊。,unit_abilities_tooltip_text_hv_historical_ability_scholar_03,hv_TEXT_skills_skill_ability__historical.loc.tsv
hv_historical_ability_veteran_02,One with the Land,地遁,與地合一,unit_abilities_onscreen_name_hv_historical_ability_veteran_02,hv_TEXT_skills_skill_ability__historical.loc.tsv
hv_historical_ability_veteran_02,Generations working the land will breed a kinship with it.,劳于地者必亲之,世世代代在土地上生息能使人培養出與土地的密切情誼。,unit_abilities_tooltip_text_hv_historical_ability_veteran_02,hv_TEXT_skills_skill_ability__historical.loc.tsv
hv_historical_ability_veteran_03,Anti-Cavalry Tactics,反制,反騎兵戰術,unit_abilities_onscreen_name_hv_historical_ability_veteran_03,hv_TEXT_skills_skill_ability__historical.loc.tsv
hv_historical_ability_veteran_03,Organise your troops into a solid wall to deter horses. It's a simple but effective tactic.,将士兵组成人墙来抵御马匹。此战术简单有效。,將士兵組成人墻來抵禦馬匹。此戰術簡單有效。,unit_abilities_tooltip_text_hv_historical_ability_veteran_03,hv_TEXT_skills_skill_ability__historical.loc.tsv
hv_historical_ability_water_01,Inspiring Surge,激浪,戰意澎湃,unit_abilities_onscreen_name_hv_historical_ability_water_01,hv_TEXT_skills_skill_ability__historical.loc.tsv
hv_historical_ability_water_01,Inspirational deeds spur forces to swifter action!,激流汹涌，鼓舞军心,激勵人心之舉可鼓舞部隊加速行動！,unit_abilities_tooltip_text_hv_historical_ability_water_01,hv_TEXT_skills_skill_ability__historical.loc.tsv
hv_historical_ability_water_02,Fire Control,穿杨,穿楊,unit_abilities_onscreen_name_hv_historical_ability_water_02,hv_TEXT_skills_skill_ability__historical.loc.tsv
hv_historical_ability_water_02,Organised volleys prove more effective.,依序射击更为有效。,依序射擊更為有效。,unit_abilities_tooltip_text_hv_historical_ability_water_02,hv_TEXT_skills_skill_ability__historical.loc.tsv
hv_historical_ability_wood_01,Earthen Rampart,壁垒,大地堡壘,unit_abilities_onscreen_name_hv_historical_ability_wood_01,hv_TEXT_skills_skill_ability__historical.loc.tsv
hv_historical_ability_wood_01,An immovable mountain against the tide of the charge.,任由惊涛拍岸，我自不动如山。,任由驚濤拍岸，我自不動如山。,unit_abilities_tooltip_text_hv_historical_ability_wood_01,hv_TEXT_skills_skill_ability__historical.loc.tsv
hv_historical_ability_wood_02,Tenacity of Steel,刚韧,堅韌如鋼,unit_abilities_onscreen_name_hv_historical_ability_wood_02,hv_TEXT_skills_skill_ability__historical.loc.tsv
hv_historical_ability_wood_02,"The longer this warrior fights, the stronger they become!",战之愈久，愈游刃有余！,這名戰士越戰越勇！,unit_abilities_tooltip_text_hv_historical_ability_wood_02,hv_TEXT_skills_skill_ability__historical.loc.tsv
hv_historical_ability_wood_03,Inner Vitality,内力,内在活力,unit_abilities_onscreen_name_hv_historical_ability_wood_03,hv_TEXT_skills_skill_ability__historical.loc.tsv
hv_historical_ability_wood_03,A warrior who feels truly alive in battle.,以战为生的勇士。,以戰爲生的勇士。,unit_abilities_tooltip_text_hv_historical_ability_wood_03,hv_TEXT_skills_skill_ability__historical.loc.tsv
3k_dlc04_show_of_force,Shoot some crossbow-bombs for reducing morale of hostile units.,射出一些弩弹，用于降低敌军士气。,射出一些弩彈，用於降低敵軍士氣。,unit_abilities_tooltip_text_3k_dlc04_show_of_force,hv_TEXT_skills_skill_ability_name_desc.loc.tsv
3k_main_ability_distant_courage,This general directs and empowers his forces from a… safer distance.,大将军难道不应该在远离纷争的地方运筹帷幄？,大將軍難道不應該在遠離紛爭的地方運籌帷幄？,unit_abilities_tooltip_text_3k_main_ability_distant_courage,hv_TEXT_skills_skill_ability_name_desc.loc.tsv
3k_main_ability_heart_seeker,"With a single shot, The shooter brings death.",百步穿杨，一击便可致敌于死地。,百步穿楊，一擊便可致敵於死地。,unit_abilities_tooltip_text_3k_main_ability_heart_seeker,hv_TEXT_skills_skill_ability_name_desc.loc.tsv
3k_main_ability_imperious_presence,Cao Cao's presence unnerves the enemy general!,曹操在场，敌将备受压制！,曹操在場，敵將備受壓制！,unit_abilities_tooltip_text_3k_main_ability_imperious_presence,hv_TEXT_skills_skill_ability_name_desc.loc.tsv
3k_main_ability_quickfire,"This shooter fires and fires, faster and faster, never relenting.",此弓手一箭紧接一箭，一箭快过一箭。,此弓手不斷引弓放箭，越放越快，毫不留手。,unit_abilities_tooltip_text_3k_main_ability_quickfire,hv_TEXT_skills_skill_ability_name_desc.loc.tsv
3k_main_ability_stalwart_defender,"Born to hold the line, This warrior shrugs off attacks as if they were nothing!",此人真乃守御惊世之才，敌众猛攻视若无物！,此人是天生的護衛將才，所有攻擊對他來說都不痛不癢！,unit_abilities_tooltip_text_3k_main_ability_stalwart_defender,hv_TEXT_skills_skill_ability_name_desc.loc.tsv
hv_ability_aggressive_anger,Brute Power,蛮力,蠻力,unit_abilities_onscreen_name_hv_ability_aggressive_anger,hv_TEXT_skills_skill_ability_name_desc.loc.tsv
