File,eng,zh-cn,zh-tw
hv_TEXT_etc.loc.tsv,"[[b]]ARMOUR[[/b]]\\n\\n Decreases standard melee, ranged and explosion damages. Doesn't help against armour-piercing damage.",[[b]]护甲[[/b]]\\n\\n减少部队受到的标准近战伤害、远程伤害以及爆炸伤害。无法防御穿甲伤害。,[[b]]護甲[[/b]]\\n\\n 減少單位受到的標準近戰傷害、遠程傷害以及爆炸傷害。無法防禦穿甲傷害。
hv_TEXT_etc.loc.tsv,[[b]]BONUS VS. CAVALRY[[/b]]\\n\\n Increases melee damage against cavalry.,[[b]]对抗骑兵加成[[/b]]\\n\\n提高对骑兵的近战伤害。,[[b]]對抗騎兵加成[[/b]]\\n\\n 提高對騎兵的近戰傷害。
hv_TEXT_etc.loc.tsv,[[b]]BONUS VS. INFANTRY[[/b]]\\n\\n Increases melee damage against infantry.,[[b]]对抗步兵加成[[/b]]\\n\\n提高对步兵的近战伤害。,[[b]]對抗步兵加成[[/b]]\\n\\n 提高對步兵的近戰傷害。
hv_TEXT_etc.loc.tsv,[[b]]CHARGE RESISTANCE[[/b]]\\n\\n Determines how solidly this unit can withstand enemy charges. Only functions when the unit is braced.,[[b]]冲锋抵抗力[[/b]]\\n\\n决定该部队能承受多大程度的敌军冲锋。此作用于该部队被冲锋时。,[[b]]衝鋒抵抗力[[/b]]\\n\\n決定該部隊能承受多大程度的敵軍衝鋒。此作用於該單位被衝鋒時。
hv_TEXT_etc.loc.tsv,[[b]]MELEE EVASION[[/b]]\\n\\n Increases the chance of evading melee damage from front and side. The enemy's charge bonus decreases it.,[[b]]近战回避[[/b]]\\n\\n此能力值会提高闪避正面与侧面近战伤害的机率。敌人的冲锋加成会降低此能力值。,[[b]]近戰迴避[[/b]]\\n\\n 此能力值會提高閃避正面與側面近戰傷害的機率。敵人的衝鋒加成會降低此能力值。
hv_TEXT_etc.loc.tsv,[[b]]MELEE HIT BONUS[[/b]]\\n\\n Increases a unit's hit chance at all times by decreasing the enemy's melee evasion.,[[b]]近战命中加成[[/b]]\\n\\n通过降低敌人的近战回避，增加部队在任何时候的命中率。,[[b]]近戰命中加成[[/b]]\\n\\n 通過降低敵人的近戰回避，增加單位在任何時候的命中率。
hv_TEXT_events.loc.tsv,A Xiliang colonel has joined your faction.,一名西凉伯长加入你的派系。,一名西涼校尉加入您的勢力。
hv_TEXT_events.loc.tsv,A careful decision,慎重决定,慎重決定
hv_TEXT_events.loc.tsv,"A few days after you and your men began searching the mountains, you come across an incredible sight. The den of a large white tiger and its family. The men are intimidated by its size and implore you to go back. You feel as if the massive tiger is staring at you.",在您与部下开始搜山几天后，您遇到了一个不可思议的景象：一只巨型白虎的巢穴。您的部下被老虎体型吓到，恳求您回去。您感觉好像那只巨大的老虎正在盯着你。,在您與部下開始搜山幾天後，您遇到了一個不可思議的景象：一隻巨型白虎的巢穴。您的部下被老虎體型嚇到，懇求您回去。您感覺好像那隻巨大的老虎正在盯著你。
hv_TEXT_events.loc.tsv,A few of your officers have gained additional experience.,你的一些官员获得额外经验。,您的一些官員獲得額外經驗。
hv_TEXT_events.loc.tsv,"A group of beggars appears before you. Among them, a girl dressed nicely comes forward and bows. The girl identifies herself as Dong Bai, the last kin of the tyrant Dong Zhuo, and begs you to take her.",前面来了一群乞丐，其中有一名衣冠楚楚的少女上前行礼。女孩自称董白，是暴君董卓最后的亲人。她求你带她走。,前面來了一群乞丐，其中有一名衣冠楚楚的少女上前行禮。女孩自稱董白，是暴君董卓最後的親人。她求你帶她走。
hv_TEXT_events.loc.tsv,A group of unusual men sporting shaved heads disembark from a ship.  They claim to have journeyed from distant lands to spread the teachings of Buddha. Perhaps it will be worth supporting them?,从船上下来一群剃光头的异人。他们自称从遥远地方来此传播佛道。也许值得支持他们？,從船上下來一群剃光頭的異人。他們自稱從遙遠地方來此傳播佛道。也許值得支持他們？
hv_TEXT_events.loc.tsv,A regiment of the Northern Army will join your faction.,一个北军兵团会加入你的派系。,一個北軍兵團會加入您的勢力。
hv_TEXT_events.loc.tsv,"A shabby warband requests to join your faction. After Lu Bu's defeat, his daughter Lu Ji seems to have been leading the survivors. However, granting them sanctuary may cause their enemies to come after us.",一只残军请求加入你的派系。吕布战败后，其女吕姬收拢溃卒。然而，接纳他们可能会惹恼吕布之敌。,一隻殘軍請求加入您的勢力。呂布戰敗後，其女呂姬收攏潰卒。然而，接納他們可能會惹惱呂布之敵。
hv_TEXT_events.loc.tsv,"A shabby warband requests to join your faction. After Yuan Shu's defeat, his generals Zhang Xun, Ji Ling and Yan Xiang to have been leading the survivors. However, granting them sanctuary may cause their enemies to come after us.",一只残军请求加入你的派系。袁术战败后，其部将张勋，纪灵及阎象收拢溃卒。然而，接纳他们可能会惹恼袁术之敌。,一隻殘軍請求加入您的勢力。袁術戰敗後，其部將張勳，紀靈及閻象收攏潰卒。然而，接納他們可能會惹惱袁術之敵。
hv_TEXT_events.loc.tsv,A successful hunt,狩猎成功,狩獵成功
hv_TEXT_events.loc.tsv,A yellow turban warband has invaded your territory. You must defeat them.,有黄巾军侵入主公领地，须从速讨敌。,有黃巾軍侵入主公領地，須從速討敵。
hv_TEXT_events.loc.tsv,Academic Advancement,学术进步,學術進步
hv_TEXT_events.loc.tsv,"After an epic struggle, you slay the enormous white tiger. Then, unexpectedly, the other tigers prostrate themselves as if submitting to your might! These white tigers don't seem to be ordinary beasts.",酣战之后，您杀死了巨型白虎。然而出乎意料的是，其它老虎俯伏在您身前，好像屈服于您的力量！这些白虎似乎不是普通的野兽。,酣戰之後，您殺死了巨型白虎。然而出乎意料的是，其它老虎俯伏在您身前，好像屈服於您的力量！這些白虎似乎不是普通的野獸。
hv_TEXT_events.loc.tsv,All economic activities have been hampered by the minting of a new coin. We have no choice but to wait for merchants to adjust to the new standard.,所有的经济活动都因为新币的铸造而受到阻碍。我们别无选择，只能等待商人们适应新的标准。,所有的經濟活動都因爲新幣的鑄造而受到阻礙。我們別無選擇，只能等待商人們適應新的標準。
hv_TEXT_events.loc.tsv,Army of the Great Banner,集兵练卒,集兵練卒
hv_TEXT_events.loc.tsv,Buy nothing,无意购买,不買任何東西
hv_TEXT_events.loc.tsv,Cement your rule with legitimacy! Build an Imperial City that will be the envy of other warlords. All under heaven will look to you for leadership.,要称霸一方就需有正统之名。若能建造一座万人敬仰的都城，便可彰显实力，天下众人必当归顺。,要稱霸一方就要有正統的名義。若能建造一座萬人敬仰的皇城，便可彰顯實力，天下人必當歸順。
hv_TEXT_events.loc.tsv,Character Joins: Dong Bai,人物加入：董白,人物來投：董白
hv_TEXT_events.loc.tsv,Commission,委任,委任
hv_TEXT_events.loc.tsv,Complete missions to bolster your faction!,完成任务可以增强你的派系！,完成任務可以增强您的勢力！
hv_TEXT_events.loc.tsv,Completing these missions will gather northern colonels to your cause.,完成这些任务，北军伯长就会为你效力。,完成這些任務，北軍校尉就會爲您效力。
hv_TEXT_events.loc.tsv,Confront the large white tiger,与巨型白虎对峙,與巨型白虎對峙
hv_TEXT_events.loc.tsv,Encounter white tigers,遭遇虎袭,遭遇虎襲
hv_TEXT_events.loc.tsv,Fearsome Cavalry,骇人铁骑,駭人鐵騎
hv_TEXT_events.loc.tsv,"Following your recent success, the captain of the Northern Army has come to pledge his devotion to you. He brings with him the might of the professional soldiers he commands.",随着你近期的丰功伟业，督掌北军的中尉前来宣誓效忠于你，他所指挥的整支精良军队也一同前来，加入你的麾下。,鑒於您近期勢如破竹，北軍中候已宣誓效忠於您。他所指揮的精良軍隊也隨同前來，加入您麾下。
hv_TEXT_events.loc.tsv,Hire the Sogdian mercenaries,雇佣粟特佣兵,雇傭粟特傭兵
hv_TEXT_events.loc.tsv,"Indeed, the goods brought by the western merchants are diverse, with many rare and valuable items. Furthermore, the mercenaries escorting them look like natural warriors.",的确，西域商人带来的货物种类繁多，其中不乏珍惜名贵之物。而且，护送他们的佣兵看起来就像是天生的战士。,的確，西域商人帶來的貨物種類繁多，其中不乏珍惜名貴之物。而且，護送他們的傭兵看起來就像是天生的戰士。
hv_TEXT_events.loc.tsv,Investigate,调查,調查
hv_TEXT_events.loc.tsv,It must be bullshit.,无稽之谈。,無稽之談。
hv_TEXT_events.loc.tsv,It's best to ignore these annoying preachers.,不应理睬这些烦人的布道僧侣。,不應理睬這些煩人的佈道僧侶。
hv_TEXT_events.loc.tsv,"It's hard to believe, but it might be worth investigating personally.",难以置信，但不妨亲自调查一番。,難以置信，但不妨親自調查一番。
hv_TEXT_events.loc.tsv,Kill her,杀了她,將她處死
hv_TEXT_events.loc.tsv,Looking for the monster...,寻觅怪兽……,尋覓怪獸……
hv_TEXT_events.loc.tsv,Lu Bu's army follows your faction.,吕布之兵将追随于你。,呂布之兵將追隨於您。
hv_TEXT_events.loc.tsv,Military Talent,军事才能,軍事才能
hv_TEXT_events.loc.tsv,No one wants troublemakers.,莫要引禍上身。,莫要引祸上身。
hv_TEXT_events.loc.tsv,None of the other warlords in China are as noble or accomplished as you are. Bring order to chaos and officers who were once loyal to the Han Dynasty will flock to your banner. Defeat your rivals and accumulate wealth to expand your power.,天下大乱，雄豪并起。主公若能运筹演谋，鞭挞宇内，忠于汉室之能人必来投效。以公之神武明哲而辅以大顺，何向而不济！,天下大亂，雄豪並起。主公若能運籌演謀，鞭撻宇內，忠於漢室之能人必來投效。以公之神武明哲而輔以大順，何向而不濟！
hv_TEXT_events.loc.tsv,"Once again the flames begin to burn. Now we are ready to destroy the Han dynasty. Our forces are strong, and the old comrades who had to live in hiding will also appear and respond to us. Let's make sure that Zhang Jue's unfulfilled dream come true.",黄巾烈火再次熊熊燃烧。汉朝覆灭之日不远。我军势不可挡，昔日隐匿的教友也将再次加入我们。天下大吉的梦想定会实现。,黃巾烈火再次熊熊燃燒。漢朝覆滅之日不遠。我軍勢不可擋，昔日隱匿的教友也會再加入我們。天下大吉的夢想定會實現。
hv_TEXT_events.loc.tsv,Perhaps you can bring them into your fold...,或许可以招揽……,或許可以招攬……
hv_TEXT_events.loc.tsv,Purchase a horse,买马,買馬
hv_TEXT_events.loc.tsv,Purchase a western sword,买剑,買劍
hv_TEXT_events.loc.tsv,Qingzhou Troops,青州军,青州軍
hv_TEXT_events.loc.tsv,Raise your reputation! ,你需要提高你的声望！,您需要提高您的聲望！
hv_TEXT_events.loc.tsv,Rumors about a monster,怪兽传言,怪獸傳言
hv_TEXT_events.loc.tsv,Social Turmoil,社会动荡,社會動盪
hv_TEXT_events.loc.tsv,Sogdian Merchants,粟特商人,粟特商人
hv_TEXT_events.loc.tsv,Sogdians from the west has been spotted entering our borders. We will be able to purchase fine goods or hire Sogd mercenaries soon.,自西域而来的粟特商人出现在我方境内。随之而来的不仅仅有异域商品，还有雇佣粟特佣兵的机会。,自西域而來的粟特商人出現在我方境內。隨之而來的不僅僅有異域商品，還有僱傭粟特傭兵的機會。
hv_TEXT_events.loc.tsv,Sogidan Merchants Approach,粟特商人来访,粟特商人來訪
hv_TEXT_events.loc.tsv,Support them,支持他们,支持他們
hv_TEXT_events.loc.tsv,Take her,收留她,予以接納
hv_TEXT_events.loc.tsv,"Thanks to your patronage of scholars and men of talent, your officers have made progress on the path to enlightenment.",由于你对学者和人才的赞助，你的官员在启蒙的道路上取得了进步。,由於您對學者和人才的贊助，您的官員在修爲的道路上取得了進步。
hv_TEXT_events.loc.tsv,The Kidnapped Girl,文姬归汉,文姬歸漢
hv_TEXT_events.loc.tsv,The Last Kin of the Dong Zhuo,董卓遗孤,董卓遺孤
hv_TEXT_events.loc.tsv,The New Coin Causes Confusion!,新币引起了混乱！,新幣引起了混亂！
hv_TEXT_events.loc.tsv,The Wandering Survivors,寄人篱下,寄人籬下
hv_TEXT_events.loc.tsv,The Yellow Turban Rises Again,黄巾再起,黃巾再起
hv_TEXT_events.loc.tsv,The arrival of Buddhism,佛教传入,佛教傳入
hv_TEXT_events.loc.tsv,"The captain of the centre, inspector of the professional Northern Army, has pledged his allegiance to Dong Zhuo. He now has a formidable force at his disposal.",掌管北军世兵的领军伯长现已效忠于董卓。这是支不可小觑的部队。,掌管北軍世兵的領軍校尉現已效忠于董卓。這是支不可小觑的部隊。
hv_TEXT_events.loc.tsv,"The captain of the centre, inspector of the professional Northern Army, has pledged his allegiance to Gongsun Zan. He now has a formidable force at his disposal.",掌管北军世兵的领军伯长现已效忠于公孙瓒。这是支不可小觑的部队。,掌管北軍世兵的領軍校尉現已效忠于公孫瓚。這是支不可小觑的部隊。
hv_TEXT_events.loc.tsv,"The captain of the centre, inspector of the professional Northern Army, has pledged his allegiance to Yuan Shu. He now has a formidable force at his disposal.",掌管北军世兵的领军伯长现已效忠于袁术。这是支不可小觑的部队。,掌管北軍世兵的領軍校尉現已效忠于袁術。這是支不可小觑的部隊。
hv_TEXT_events.loc.tsv,The house of Dong is destroyed.,董卓全族已被诛灭。,董卓全族已被誅滅。
hv_TEXT_events.loc.tsv,The path to prominence in these turbulent times is by the sword! Win battles to demonstrate your capability.,在此动荡之秋，要想出人头地就只有刀兵相见！赢得战斗便能向世人展现你的能力。,在此動蕩之秋，要想出人頭地就只有刀兵相見！贏得戰鬥便能向世人展現您的能力。
hv_TEXT_events.loc.tsv,"The yellow turban warband is crushed. Hailing from Qingzhou, the survivors offer their servitude. Cao Cao gathers them under his banner and dubs them Qingzhou Troops.",黄巾匪徒已被击溃。青州生还者们愿意报德。曹操将之收于旗下，名为青州军。,黃巾匪徒已被擊潰。青州生還者們願意報德。曹操將之收於旗下，名爲青州軍。
hv_TEXT_events.loc.tsv,There is no sin against this innocent girl.,此女清白，并无罪过。,此女清白，并無罪過。
hv_TEXT_events.loc.tsv,"There's a rumor about a nearby village. Each night, a huge monster terrorises the peasants. The villagers seek a hero to comb the mountains and drive out the beast.",附近村庄有传闻说，每晚会有巨兽出没恐吓农民。村民们在找寻一位英雄来进山驱走怪兽。,附近村莊有傳聞說，每晚會有巨獸出沒恐嚇農民。村民們在找尋一位英雄來進山驅走怪獸。
hv_TEXT_events.loc.tsv,These Buddhists are welcome here.,欢迎这些僧侣。,歡迎這些僧侶。
hv_TEXT_events.loc.tsv,This age of strife breeds men with a talent for warfare. A follower who has recently joined the faction can assume the role of managing an exclusive unit.,乱世出豪杰。新进的一名随从可使你执掌一只特殊军队。,亂世出豪傑。新進的一名隨從可使你執掌一隻特殊軍隊。
hv_TEXT_events.loc.tsv,Thousands of comrades across China will rise against oppression.,黄天之下千万教友将纷纷揭竿而起。,黃天之下千萬教友將紛紛揭竿而起。
hv_TEXT_events.loc.tsv,Towards Supremacy,称霸之路,稱霸之路
hv_TEXT_events.loc.tsv,Turn back,回去,回去
hv_TEXT_events.loc.tsv,Unlocks elite Northern Army Captain Retinues,解锁精锐北军伯长随从,解鎖精銳北軍校尉隨從
hv_TEXT_events.loc.tsv,Warriors of Danyang,丹阳战士,丹陽戰士
hv_TEXT_events.loc.tsv,Warriors of Jingchu,荆楚战士,荊楚戰士
hv_TEXT_events.loc.tsv,Warriors of Xiliang,西凉战士,西涼戰士
hv_TEXT_events.loc.tsv,Wars are a costly endeavour and one cannot hope to end this chaos without a sizable treasury. Show all under heaven that you possess China's wealth.,兴师十万，日费千金。国用不足则不能平乱。掌控举国之财，而后昭示天下。,興師十萬，日费千金。國用不足則不能平亂。掌控舉國之財，而後昭示天下。
hv_TEXT_events.loc.tsv,We have gathered warriors from nearby nomadic peoples to form a powerful cavalry unit. These formidable cataphracts will crush your enemies.,我们从附近游牧民族召集战士，组成了一支强健骑兵。这些令人可畏的铁甲骑兵将冲垮你的敌人。,我們從附近游牧民族召集戰士，組成了一支强健騎兵。這些令人可畏的鐵甲騎兵將衝垮你的敵人。
hv_TEXT_events.loc.tsv,We've run into problems paying the troops with the new coin. We have no choice but to wait for soldiers to adjust to the new standard.,由于新币发行，分发军饷时出现问题。我们别无选择，只能等到士兵们适应新的标准。,由於新幣發行，分發軍餉時出現問題。我們別無選擇，只能等到士兵們適應新的標準。
hv_TEXT_events.loc.tsv,We've run into problems purchasing grain with the new coin. We have no choice but to wait for farmers to adjust to the new standard.,由于新币发行，买粮时出现问题。我们别无选择，只能等到农民们适应新的标准。,由於新幣發行，買糧時出現問題。我們別無選擇，只能等到農民們適應新的標準。
hv_TEXT_events.loc.tsv,Yan Baihu may now recruit {{tr:hv_unit_white_tiger_warriors}}.,严白虎现可招募{{tr:hv_unit_white_tiger_warriors}}。,嚴白虎現可招募{{tr:hv_unit_white_tiger_warriors}}。
hv_TEXT_events.loc.tsv,Yellow Turban Warband,黄巾军,黃巾軍
hv_TEXT_events.loc.tsv,You agree with your men and prepare to descend.,你同意下人的意见，准备下山。,你同意下人的意見，準備下山。
hv_TEXT_events.loc.tsv,You allow them to join your cause. ,收纳他们加入旗下。,收納他們加入旗下。
hv_TEXT_events.loc.tsv,You are rather taken with a fine steed.,你被一匹好马吸引住了。,您被一匹好馬吸引住了。
hv_TEXT_events.loc.tsv,You are rather taken with a peculiar sword.,你被一柄怪剑吸引住了。,您被一柄怪劍吸引住了。
hv_TEXT_events.loc.tsv,You can't go back empty-handed.,不能空手而归。,不能空手而歸。
hv_TEXT_events.loc.tsv,You decide not to avail yourself of their wares.,你决定不买他们的货品。,你決定不買他們的貨品。
hv_TEXT_events.loc.tsv,"You give up the hunt and return. However, for reasons unknown, the monster attacks stopped.",你放弃了狩猎，回去了。然而不知为何，怪兽从此不再攻击。,您放棄了狩獵，回去了。然而不知爲何，怪獸從此不再攻擊。
hv_TEXT_events.loc.tsv,You have acquired a tally that grants its bearer the authority to command Danyang troops.,你获得一张可指挥丹阳部队的兵符。,您獲得一張可指揮丹陽部隊的兵符。
hv_TEXT_events.loc.tsv,You have acquired a tally that grants its bearer the authority to command Jingchu troops.,你获得一张可指挥荆楚部队的兵符。,您獲得一張可指揮荊楚部隊的兵符。
hv_TEXT_events.loc.tsv,You hire a Sogdian mercenary group.,你雇佣了一队粟特佣兵。,您雇傭了一隊粟特傭兵。
hv_TEXT_events.loc.tsv,"You may now recruit {{tr:hv_unit_qingzhou_hand_ji_infantry}}, {{tr:hv_unit_qingzhou_2h_axe_infantry}}, {{tr:hv_unit_qingzhou_raider_cavalry}}.",你现在可以招募：{{tr:hv_unit_qingzhou_hand_ji_infantry}}，{{tr:hv_unit_qingzhou_2h_axe_infantry}}，{{tr:hv_unit_qingzhou_raider_cavalry}}。,您現在可以招募：{{tr:hv_unit_qingzhou_hand_ji_infantry}}，{{tr:hv_unit_qingzhou_2h_axe_infantry}}，{{tr:hv_unit_qingzhou_raider_cavalry}}。
hv_TEXT_events.loc.tsv,"Your messengers report a remarkable story. A trader spotted a Han woman living amongst the Xiongnu and identified her as Cai Yan, the daughter of the grand scholar Cai Yong. It seems she was forced to marry a chieftain of the Xiongnu. Perhaps someone could convince this chieftain to free Cai Yan. One of your scouts has already left to investigate...",信使来报，有商贩在匈奴营中发现一位中土女眷，正是名士蔡邕之女蔡琰，已沦为匈奴左贤王女奴。匈奴王或许愿意放了蔡琰，你的一个探子已经前去调查……,信使來報，有商販在匈奴營中發現一位中土女眷，正是名士蔡邕之女蔡琰，已沦为匈奴左賢王女奴。匈奴王或許願意放了蔡琰，你的一個探子已經前去調查……
hv_TEXT_events.loc.tsv,Yuan Rong Crossbow,元戎弩,元戎弩
hv_TEXT_events.loc.tsv,Yuan Shu's army follows your faction.,袁术之兵将追随于你。,袁術之兵將追隨於您。
hv_TEXT_events.loc.tsv,Zhuge Liang has brilliantly engineered a new weapon. It is a crossbow that fires several bolts simultaneously to overwhelm the enemy.,诸葛亮精心设计出一种新武器。这是一种能够同时射出多枚箭矢的弩弓，可以压制敌人。,諸葛亮精心設計出一種新武器。這是一種能夠同時射出多枚箭矢的弩弓，可以壓制敵人。
hv_TEXT_events_rules.loc.tsv,"A New Era, A New Ruler.",新时代，新主公。,新時代，新主公。
hv_TEXT_frontend_features.loc.tsv,"As the Black Mountain bandits increase in number, the more brazen they become.",黑山匪徒之数与日俱增，其行为亦更加肆无忌惮。,黑山匪徒之數與日俱增，其行為亦更加肆無忌憚。
hv_TEXT_frontend_features.loc.tsv,Black Mountain / Opportunistic Alignment,黑山/趋利之盟,黑山 / 趨利之盟
hv_TEXT_frontend_features.loc.tsv,Fortitude / Trophy Cabinet,坚韧度 / 战利品宝库,堅韌度 / 戰利品櫃
hv_TEXT_frontend_features.loc.tsv,Gain military benefits at the expense of the relations with other factions.,获得军事增益，但也会恶化与其他派系的关系。,獲得軍事增益，但也會惡化與其他勢力的關係。
hv_TEXT_frontend_features.loc.tsv,Horse Breeding / Foraging & Supplies,养马 / 自行觅食与补给,養馬 / 自行覓食與補給
hv_TEXT_frontend_features.loc.tsv,Stratocracy / Military Government,军政/军事政府,軍政 / 軍事政府
hv_TEXT_frontend_features.loc.tsv,"The finer your horses, the more powerful your cavalry will be. ",有良马才能有精骑。,有良馬才能有精騎。
hv_TEXT_frontend_features.loc.tsv,Yan Baihu can recruit generic [[b]]Han units[[/b]] with Bandit Network.,严白虎可通过匪盗网招募普通[[b]]汉兵种部队[[/b]]。,嚴白虎可通過盜賊人脈招募普通 [[b]]漢軍單位[[/b]]。
hv_TEXT_frontend_features.loc.tsv,"[[b]]Chen Deng[[/b]]\\nMan For All Seasons\\n\\nGeneral type: {{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]Sometimes, just sometimes, power fails to corrupt, and instead leads to altruism and charity.[[/col]][[/i]]",[[b]]陈登[[/b]]\\n日月精忠\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]时有奇士，得权不为腐化，反而致力仁政。[[/col]][[/i]],[[b]]陳登[[/b]]\\n日月精忠\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]時有奇士，得權不為腐化，反而致力仁政。[[/col]][[/i]]
hv_TEXT_frontend_features.loc.tsv,"[[b]]Guerilla Warfare[[/b]]\\n[[col:scope_description]]Military building chain[[/col]]\\n\\n[[col:green]]+[[/col]] Post-battle loot income\\n[[col:green]]+[[/col]] Military supplies\\n[[col:green]]+[[/col]] Replenishment in foreign land\\n\\n[[col:flavour]][[i]]When fighting a greater opponent, remain flexible and use cunning and surprise.[[/col]][[/i]]",[[b]]游击序列[[/b]]\\n[[col:scope_description]]军事建筑序列[[/col]]\\n\\n[[col:green]]增加[[/col]]战后掳掠收入 \\n[[col:green]]增加[[/col]]军事补给\\n\\n[[col:flavour]]在外邦领土时部队补员\\n\\n[[col:flavour]][[i]]弱敌尚需谋略，强敌更得出奇制胜[[/col]][[/i]],[[b]]游擊戰[[/b]]\\n[[col:scope_description]]軍事建築系列[[/col]]\\n\\n[[col:green]]+[[/col]] 戰鬥後擄掠收入\\n[[col:green]]+[[/col]] 軍事物資補給\\n\\n[[col:flavour]]於外邦領土時的補員速率\\n\\n[[col:flavour]][[i]]敵強我弱時，務必保持靈活，利用計謀與奇襲致勝。[[/col]][[/i]]
hv_TEXT_frontend_features.loc.tsv,[[b]]Lady Cai[[/b]]\\nThe Lady of Jingzhou\\n\\nGeneral type: {{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]The house of Cai is the most famous noble family in Jingzhou. Lady Cai is willing to use the power.[[/col]][[/i]],[[b]]蔡氏[[/b]]\\n荆州夫人\\n\\n将领类型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]蔡氏乃是荆州名门望族。蔡夫人亦甚有权势。[[/col]][[/i]],[[b]]蔡氏[[/b]]\\n荊州夫人\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]蔡氏乃是荊州名門望族。蔡夫人亦甚有權勢。[[/col]][[/i]]
hv_TEXT_frontend_features.loc.tsv,[[b]]Loyalty to the Han[[/b]]\\n[[col:scope_description]]Path to victory[[/col]]\\n\\n[[col:red]]Requires high prestige for creating an emperor seat[[/col]]\\nCan gain prestige with imperial favours\\n\\n[[col:flavour]][[i]]Ambition is tamed by respect and loyalty towards the Han and its emperors.[[/col]][[/i]],[[b]]忠于汉室[[/b]]\\n[[col:scope_description]]制胜之道[[/col]]\\n\\n[[col:red]]需要高威望来称帝[[/col]]\\n如获天子宠信则可获得威望\\n\\n[[col:flavour]][[i]]尽忠职守，效忠汉帝，不敢心怀异志[[/col]][[/i]],[[b]]忠於漢室[[/b]]\\n[[col:scope_description]]求勝之道[[/col]]\\n\\n[[col:red]]需要高威望來稱帝[[/col]]\\n如獲皇帝寵信則可獲得威望\\n\\n[[col:flavour]][[i]]對漢室和皇帝的尊重和忠誠，馴服了野心。[[/col]][[/i]]
hv_TEXT_frontend_features.loc.tsv,• Can improve unique units,• 可以改善独特部队,• 可以改善獨特單位
hv_TEXT_frontend_features.loc.tsv,• Can recruit generic Han units,• 可以招募大汉部队,• 可以招募大漢單位
hv_TEXT_frontend_features.loc.tsv,• Garrisoned armies provide construction bonus and income bonus,• 驻军提供建筑和收入加成,• 駐軍提供建築和收入加成
hv_TEXT_frontend_features.loc.tsv,• Improve cavalry units,• 改善骑兵部队,• 改善騎兵單位
hv_TEXT_frontend_features.loc.tsv,• Increases unit morale and Decreases enemy unit morale,• 提升己方士气，降低敌方士气,• 增進己方士氣，降低敵方士氣
hv_TEXT_frontend_features.loc.tsv,• Military Improvements,• 改善军事,• 改善軍事
hv_TEXT_pooled_resource.loc.tsv,An inevitable rule to stabilize the turmoil.,严政方能定乱。,嚴政方能定亂。
hv_TEXT_pooled_resource.loc.tsv,Black Mountain,黑山,黑山
hv_TEXT_pooled_resource.loc.tsv,Black Mountain bandits exploit the chaos to bolster their numbers.,黑山贼乘乱以增其之数。,黑山贼乘乱以增其之数。
hv_TEXT_pooled_resource.loc.tsv,Ferghana horses are bred to equip cavalry forces.,养育大宛马来装备骑兵部队。,養育大宛馬來裝備騎兵部隊。
hv_TEXT_pooled_resource.loc.tsv,Horse Breeding,养马,養馬
hv_TEXT_pooled_resource.loc.tsv,Resurrection,复起,復起
hv_TEXT_pooled_resource.loc.tsv,Sell Horses,卖马,賣馬
hv_TEXT_pooled_resource.loc.tsv,Stratocracy,军政,軍政
hv_TEXT_pooled_resource.loc.tsv,The Yellow Turban is ready to color the world once again.,黄巾之势必将再次席卷天下。,黃巾之勢必將再次席捲天下。
hv_TEXT_pooled_resource.loc.tsv,"Your attendant will sell the horses you've bred, for a fine sum.",你的随从会将你所养的马匹以高价卖出。,您的隨從會將您所養的馬匹以高價賣出。
hv_TEXT_region_army.loc.tsv,Colonel of the Xiliang Army can be earned when occupied,占据时可获得西凉军伯长,占據時可獲得西涼軍校尉
hv_TEXT_region_army.loc.tsv,Danyang troop tally can be earned when occupied,占据时可获得丹阳虎符,占據時可獲得丹陽虎符
hv_TEXT_region_army.loc.tsv,Home region of the Danyang army,丹阳军起源地,丹陽軍起源地
hv_TEXT_region_army.loc.tsv,Home region of the Ironfist cavalry,铁拳骑兵起源地,鐵拳騎兵起源地
hv_TEXT_region_army.loc.tsv,Home region of the Jingchu army,荆楚军起源地,荊楚軍起源地
hv_TEXT_region_army.loc.tsv,Home region of the Xiliang army,西凉军起源地,西涼軍起源地
hv_TEXT_region_army.loc.tsv,Ironfist Cavalry can be recruited when occupied,占据时可获得铁拳骑兵,占據時可獲得鐵拳騎兵
hv_TEXT_region_army.loc.tsv,Jingchu troop tally can be earned when occupied,占据时可获得荆楚虎符,占據時可獲得荊楚虎符
hv_TEXT_region_army.loc.tsv,Survival Instinct ,生存本能,生存本能
hv_TEXT_skills_additional.loc.tsv,City Expansion,扩展城市,擴展城市
hv_TEXT_skills_additional.loc.tsv,Court Management,宫廷管理,宮廷管理
hv_TEXT_skills_additional.loc.tsv,Gathering Volunteers,召集义勇,召集義勇
