Text,Mapped,Count,Override (manual),Override (pattern),C1,Unit type,Unit name,Unit key,Old,File,Duplicated
{{tr:hv_unit_nanman_southern_foreign_warriors}},{{tr:hv_unit_nanman_southern_foreign_warriors}},1,,{{tr:hv_unit_nanman_southern_foreign_warriors}},,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_name.loc,FALSE
{{tr:hv_unit_nanman_southern_foreign_warriors}} for recruitment: %+n,{{tr:hv_unit_nanman_southern_foreign_warriors}}部署量：%+n,1,,{{tr:hv_unit_nanman_southern_foreign_warriors}}部署量：%+n,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effects_unit_cap.loc,FALSE
{{tr:hv_unit_nanman_southern_shield_bearers}},{{tr:hv_unit_nanman_southern_shield_bearers}},1,,{{tr:hv_unit_nanman_southern_shield_bearers}},,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_name.loc,FALSE
{{tr:hv_unit_nanman_southern_shield_bearers}} for recruitment: %+n,{{tr:hv_unit_nanman_southern_shield_bearers}}部署量：%+n,1,,{{tr:hv_unit_nanman_southern_shield_bearers}}部署量：%+n,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effects_unit_cap.loc,FALSE
{{tr:hv_unit_nanman_spear_defectors}},{{tr:hv_unit_nanman_spear_defectors}},1,,{{tr:hv_unit_nanman_spear_defectors}},,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_name.loc,FALSE
{{tr:hv_unit_nanman_spear_defectors}} for recruitment: %+n,{{tr:hv_unit_nanman_spear_defectors}}部署量：%+n,1,,{{tr:hv_unit_nanman_spear_defectors}}部署量：%+n,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effects_unit_cap.loc,FALSE
{{tr:hv_unit_nomad_gang_cavalry}},{{tr:hv_unit_nomad_gang_cavalry}},1,,{{tr:hv_unit_nomad_gang_cavalry}},,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_name.loc,FALSE
{{tr:hv_unit_nomad_gang_cavalry}} for recruitment: %+n,{{tr:hv_unit_nomad_gang_cavalry}}部署量：%+n,1,,{{tr:hv_unit_nomad_gang_cavalry}}部署量：%+n,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effects_unit_cap.loc,FALSE
{{tr:hv_unit_northern_elite_2h_sword_infantry}},{{tr:hv_unit_northern_elite_2h_sword_infantry}},0,,{{tr:hv_unit_northern_elite_2h_sword_infantry}},,,,,,,FALSE
{{tr:hv_unit_northern_mace_cavalry}},{{tr:hv_unit_northern_mace_cavalry}},1,,{{tr:hv_unit_northern_mace_cavalry}},,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_name.loc,FALSE
{{tr:hv_unit_northern_mace_cavalry}} for recruitment: %+n,{{tr:hv_unit_northern_mace_cavalry}}部署量：%+n,1,,{{tr:hv_unit_northern_mace_cavalry}}部署量：%+n,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effects_unit_cap.loc,FALSE
{{tr:hv_unit_northern_spear_cavalry}},{{tr:hv_unit_northern_spear_cavalry}},1,,{{tr:hv_unit_northern_spear_cavalry}},,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_name.loc,FALSE
{{tr:hv_unit_northern_spear_cavalry}} for recruitment: %+n,{{tr:hv_unit_northern_spear_cavalry}}部署量：%+n,1,,{{tr:hv_unit_northern_spear_cavalry}}部署量：%+n,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effects_unit_cap.loc,FALSE
{{tr:hv_unit_onyx_dragons}},{{tr:hv_unit_onyx_dragons}},1,,{{tr:hv_unit_onyx_dragons}},,,,,黑龍軍,hv_TEXT_unit_name.loc,FALSE
{{tr:hv_unit_onyx_dragons}} for recruitment: %+n,{{tr:hv_unit_onyx_dragons}}部署量：%+n,1,,{{tr:hv_unit_onyx_dragons}}部署量：%+n,,,,,{{tr:hv_tr_hv_unit_onyx_dragons}} for recruitment: %+n,hv_TEXT_effects_unit_cap.loc,FALSE
{{tr:hv_unit_palace_guards}},{{tr:hv_unit_palace_guards}},1,,{{tr:hv_unit_palace_guards}},,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_name.loc,FALSE
{{tr:hv_unit_pearl_dragons}},{{tr:hv_unit_pearl_dragons}},1,,{{tr:hv_unit_pearl_dragons}},,,,,玥龍軍,hv_TEXT_unit_name.loc,FALSE
{{tr:hv_unit_pearl_dragons}} for recruitment: %+n,{{tr:hv_unit_pearl_dragons}}部署量：%+n,1,,{{tr:hv_unit_pearl_dragons}}部署量：%+n,,,,,{{tr:hv_tr_hv_unit_pearl_dragons}} for recruitment: %+n,hv_TEXT_effects_unit_cap.loc,FALSE
{{tr:hv_unit_porcupine_crossbowmen}},{{tr:hv_unit_porcupine_crossbowmen}},1,,{{tr:hv_unit_porcupine_crossbowmen}},,,,,先登死士,hv_TEXT_unit_name.loc,FALSE
{{tr:hv_unit_porcupine_crossbowmen}} for recruitment: %+n,{{tr:hv_unit_porcupine_crossbowmen}}部署量：%+n,1,,{{tr:hv_unit_porcupine_crossbowmen}}部署量：%+n,,,,,{{tr:hv_tr_hv_unit_porcupine_crossbowmen}} for recruitment: %+n,hv_TEXT_effects_unit_cap.loc,FALSE
{{tr:hv_unit_protectors_of_heaven_might}},{{tr:hv_unit_protectors_of_heaven_might}},1,,{{tr:hv_unit_protectors_of_heaven_might}},,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_name.loc,FALSE
{{tr:hv_unit_protectors_of_heaven_might}} for recruitment: %+n,{{tr:hv_unit_protectors_of_heaven_might}}部署量：%+n,1,,{{tr:hv_unit_protectors_of_heaven_might}}部署量：%+n,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effects_unit_cap.loc,FALSE
{{tr:hv_unit_protectors_of_heaven}},{{tr:hv_unit_protectors_of_heaven}},1,,{{tr:hv_unit_protectors_of_heaven}},,,,,皇天衛,hv_TEXT_unit_name.loc,FALSE
{{tr:hv_unit_protectors_of_heaven}} for recruitment: %+n,{{tr:hv_unit_protectors_of_heaven}}部署量：%+n,1,,{{tr:hv_unit_protectors_of_heaven}}部署量：%+n,,,,,{{tr:hv_tr_hv_unit_protectors_of_heaven}} for recruitment: %+n,hv_TEXT_effects_unit_cap.loc,FALSE
{{tr:hv_unit_qiang_archers}},{{tr:hv_unit_qiang_archers}},1,,{{tr:hv_unit_qiang_archers}},,,,,羌人射手,hv_TEXT_unit_name.loc,FALSE
{{tr:hv_unit_qiang_archers}} for recruitment: %+n,{{tr:hv_unit_qiang_archers}}部署量：%+n,1,,{{tr:hv_unit_qiang_archers}}部署量：%+n,,,,,{{tr:hv_tr_hv_unit_qiang_archers}} for recruitment: %+n,hv_TEXT_effects_unit_cap.loc,FALSE
{{tr:hv_unit_qiang_axemen}},{{tr:hv_unit_qiang_axemen}},1,,{{tr:hv_unit_qiang_axemen}},,,,,羌人斧兵,hv_TEXT_unit_name.loc,FALSE
{{tr:hv_unit_qiang_axemen}} for recruitment: %+n,{{tr:hv_unit_qiang_axemen}}部署量：%+n,1,,{{tr:hv_unit_qiang_axemen}}部署量：%+n,,,,,{{tr:hv_tr_hv_unit_qiang_axemen}} for recruitment: %+n,hv_TEXT_effects_unit_cap.loc,FALSE
{{tr:hv_unit_qiang_elite_ranger_cavalry}},{{tr:hv_unit_qiang_elite_ranger_cavalry}},1,,{{tr:hv_unit_qiang_elite_ranger_cavalry}},,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_name.loc,FALSE
{{tr:hv_unit_qiang_elite_ranger_cavalry}} for recruitment: %+n,{{tr:hv_unit_qiang_elite_ranger_cavalry}}部署量：%+n,1,,{{tr:hv_unit_qiang_elite_ranger_cavalry}}部署量：%+n,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effects_unit_cap.loc,FALSE
{{tr:hv_unit_qiang_elite_warrior_cavalry}},{{tr:hv_unit_qiang_elite_warrior_cavalry}},1,,{{tr:hv_unit_qiang_elite_warrior_cavalry}},,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_name.loc,FALSE
{{tr:hv_unit_qiang_elite_warrior_cavalry}} for recruitment: %+n,{{tr:hv_unit_qiang_elite_warrior_cavalry}}部署量：%+n,1,,{{tr:hv_unit_qiang_elite_warrior_cavalry}}部署量：%+n,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effects_unit_cap.loc,FALSE
{{tr:hv_unit_qiang_javelineer}},{{tr:hv_unit_qiang_javelineer}},1,,{{tr:hv_unit_qiang_javelineer}},,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_name.loc,FALSE
{{tr:hv_unit_qiang_javelineer}} for recruitment: %+n,{{tr:hv_unit_qiang_javelineer}}部署量：%+n,1,,{{tr:hv_unit_qiang_javelineer}}部署量：%+n,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effects_unit_cap.loc,FALSE
{{tr:hv_unit_qiang_ji_infantry}},{{tr:hv_unit_qiang_ji_infantry}},1,,{{tr:hv_unit_qiang_ji_infantry}},,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_name.loc,FALSE
{{tr:hv_unit_qiang_ji_infantry}} for recruitment: %+n,{{tr:hv_unit_qiang_ji_infantry}}部署量：%+n,1,,{{tr:hv_unit_qiang_ji_infantry}}部署量：%+n,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effects_unit_cap.loc,FALSE
{{tr:hv_unit_qiang_spear_cavalry}},{{tr:hv_unit_qiang_spear_cavalry}},1,,{{tr:hv_unit_qiang_spear_cavalry}},,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_name.loc,FALSE
{{tr:hv_unit_qiang_spear_cavalry}} for recruitment: %+n,{{tr:hv_unit_qiang_spear_cavalry}}部署量：%+n,1,,{{tr:hv_unit_qiang_spear_cavalry}}部署量：%+n,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effects_unit_cap.loc,FALSE
{{tr:hv_unit_qingzhou_2h_axe_infantry}},{{tr:hv_unit_qingzhou_2h_axe_infantry}},1,,{{tr:hv_unit_qingzhou_2h_axe_infantry}},,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_name.loc,FALSE
{{tr:hv_unit_qingzhou_2h_axe_infantry}} for recruitment: %+n,{{tr:hv_unit_qingzhou_2h_axe_infantry}}部署量：%+n,1,,{{tr:hv_unit_qingzhou_2h_axe_infantry}}部署量：%+n,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effects_unit_cap.loc,FALSE
{{tr:hv_unit_qingzhou_hand_ji_infantry}},{{tr:hv_unit_qingzhou_hand_ji_infantry}},1,,{{tr:hv_unit_qingzhou_hand_ji_infantry}},,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_name.loc,FALSE
{{tr:hv_unit_qingzhou_hand_ji_infantry}} for recruitment: %+n,{{tr:hv_unit_qingzhou_hand_ji_infantry}}部署量：%+n,1,,{{tr:hv_unit_qingzhou_hand_ji_infantry}}部署量：%+n,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effects_unit_cap.loc,FALSE
{{tr:hv_unit_qingzhou_raider_cavalry}},{{tr:hv_unit_qingzhou_raider_cavalry}},1,,{{tr:hv_unit_qingzhou_raider_cavalry}},,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_name.loc,FALSE
{{tr:hv_unit_qingzhou_raider_cavalry}} for recruitment: %+n,{{tr:hv_unit_qingzhou_raider_cavalry}}部署量：%+n,1,,{{tr:hv_unit_qingzhou_raider_cavalry}}部署量：%+n,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effects_unit_cap.loc,FALSE
{{tr:hv_unit_rapid_tigers}},{{tr:hv_unit_rapid_tigers}},1,,{{tr:hv_unit_rapid_tigers}},,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_name.loc,FALSE
{{tr:hv_unit_rapid_tigers}} for recruitment: %+n,{{tr:hv_unit_rapid_tigers}}部署量：%+n,1,,{{tr:hv_unit_rapid_tigers}}部署量：%+n,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effects_unit_cap.loc,FALSE
{{tr:hv_unit_shanyue_javelineer}},{{tr:hv_unit_shanyue_javelineer}},1,,{{tr:hv_unit_shanyue_javelineer}},,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_name.loc,FALSE
{{tr:hv_unit_shanyue_javelineer}} for recruitment: %+n,{{tr:hv_unit_shanyue_javelineer}}部署量：%+n,1,,{{tr:hv_unit_shanyue_javelineer}}部署量：%+n,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effects_unit_cap.loc,FALSE
{{tr:hv_unit_shanyue_remnants}},{{tr:hv_unit_shanyue_remnants}},1,,{{tr:hv_unit_shanyue_remnants}},,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_name.loc,FALSE
{{tr:hv_unit_shanyue_remnants}} for recruitment: %+n,{{tr:hv_unit_shanyue_remnants}}部署量：%+n,1,,{{tr:hv_unit_shanyue_remnants}}部署量：%+n,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effects_unit_cap.loc,FALSE
{{tr:hv_unit_shanyue_warriors}},{{tr:hv_unit_shanyue_warriors}},1,,{{tr:hv_unit_shanyue_warriors}},,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_name.loc,FALSE
{{tr:hv_unit_shanyue_warriors}} for recruitment: %+n,{{tr:hv_unit_shanyue_warriors}}部署量：%+n,1,,{{tr:hv_unit_shanyue_warriors}}部署量：%+n,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effects_unit_cap.loc,FALSE
{{tr:hv_unit_sogd_barded_cavalry}},{{tr:hv_unit_sogd_barded_cavalry}},1,,{{tr:hv_unit_sogd_barded_cavalry}},,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_name.loc,FALSE
{{tr:hv_unit_sogd_barded_cavalry}} for recruitment: %+n,{{tr:hv_unit_sogd_barded_cavalry}}部署量：%+n,1,,{{tr:hv_unit_sogd_barded_cavalry}}部署量：%+n,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effects_unit_cap.loc,FALSE
{{tr:hv_unit_sogd_warriors}},{{tr:hv_unit_sogd_warriors}},1,,{{tr:hv_unit_sogd_warriors}},,,,,粟特勇士,hv_TEXT_unit_name.loc,FALSE
{{tr:hv_unit_sogd_warriors}} for recruitment: %+n,{{tr:hv_unit_sogd_warriors}}部署量：%+n,1,,{{tr:hv_unit_sogd_warriors}}部署量：%+n,,,,,{{tr:hv_tr_hv_unit_sogd_warriors}} for recruitment: %+n,hv_TEXT_effects_unit_cap.loc,FALSE
{{tr:hv_unit_spice_guard}},{{tr:hv_unit_spice_guard}},1,,{{tr:hv_unit_spice_guard}},,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_name.loc,FALSE
{{tr:hv_unit_spice_guard}} for recruitment: %+n,{{tr:hv_unit_spice_guard}}部署量：%+n,1,,{{tr:hv_unit_spice_guard}}部署量：%+n,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effects_unit_cap.loc,FALSE
{{tr:hv_unit_stray_artisans}},{{tr:hv_unit_stray_artisans}},1,,{{tr:hv_unit_stray_artisans}},,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_name.loc,FALSE
{{tr:hv_unit_stray_artisans}} for recruitment: %+n,{{tr:hv_unit_stray_artisans}}部署量：%+n,1,,{{tr:hv_unit_stray_artisans}}部署量：%+n,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effects_unit_cap.loc,FALSE
{{tr:hv_unit_swallow_cavalry}},{{tr:hv_unit_swallow_cavalry}},1,,{{tr:hv_unit_swallow_cavalry}},,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_name.loc,FALSE
{{tr:hv_unit_swallow_cavalry}} for recruitment: %+n,{{tr:hv_unit_swallow_cavalry}}部署量：%+n,1,,{{tr:hv_unit_swallow_cavalry}}部署量：%+n,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effects_unit_cap.loc,FALSE
{{tr:hv_unit_sword_guards_of_the_eight_talents}},{{tr:hv_unit_sword_guards_of_the_eight_talents}},1,,{{tr:hv_unit_sword_guards_of_the_eight_talents}},,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_name.loc,FALSE
{{tr:hv_unit_taishan_phantoms}},{{tr:hv_unit_taishan_phantoms}},1,,{{tr:hv_unit_taishan_phantoms}},,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_name.loc,FALSE
{{tr:hv_unit_taishan_phantoms}} for recruitment: %+n,{{tr:hv_unit_taishan_phantoms}}部署量：%+n,1,,{{tr:hv_unit_taishan_phantoms}}部署量：%+n,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effects_unit_cap.loc,FALSE
{{tr:hv_unit_taishan_poison_wind}},{{tr:hv_unit_taishan_poison_wind}},1,,{{tr:hv_unit_taishan_poison_wind}},,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_name.loc,FALSE
{{tr:hv_unit_taishan_poison_wind}} for recruitment: %+n,{{tr:hv_unit_taishan_poison_wind}}部署量：%+n,1,,{{tr:hv_unit_taishan_poison_wind}}部署量：%+n,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effects_unit_cap.loc,FALSE
{{tr:hv_unit_tiger_and_leopard_barded_cavalry}},{{tr:hv_unit_tiger_and_leopard_barded_cavalry}},1,,{{tr:hv_unit_tiger_and_leopard_barded_cavalry}},,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_name.loc,FALSE
{{tr:hv_unit_tiger_and_leopard_barded_cavalry}} for recruitment: %+n,{{tr:hv_unit_tiger_and_leopard_barded_cavalry}}部署量：%+n,1,,{{tr:hv_unit_tiger_and_leopard_barded_cavalry}}部署量：%+n,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effects_unit_cap.loc,FALSE
{{tr:hv_unit_tiger_and_leopard_cavalry}},{{tr:hv_unit_tiger_and_leopard_cavalry}},1,,{{tr:hv_unit_tiger_and_leopard_cavalry}},,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_unit_name.loc,FALSE
